Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  0   893   3   5   3   5   0   0   1   2   0   0   1   2   2   3  2  2  4   0  3  1   7   3   0 -11  35  46    6    0   2   1   1   0  A
   4   RS vLAT  W(114-95)  0  0   763   1   2   1   2   0   0   2   2   0   0   1   1   0   1  0  3  3   0  1  1   4   4   0  11  43  32    3    0   1   0   1   0  A
   8   RS @KEN   W(99-79)  0  0   175   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   0   3   9   6    1    0   0   0   0   0  A
  12   RS vLAT  L(77-107)  0  0   578   2   2   2   2   0   0   0   0   1   1   1   1   1   1  1  1  2   0  1  0   4   2   2  -9  20  29    2    0   1   0   0   0  A
  14   RS @HAR   W(91-78)  0  1  1200   2   8   2   8   0   0   1   2   0   0   1   3   1   5  1  3  4   0  2  1   5   3   2   3  42  39   10    1   2   0   1   0  A
  20   RS vHAR W(112-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  24   RS @KEN L(114-118)  1  1  2700   6  15   6  15   0   0   1   4   2   3   4   7   2   8  5  9 14   1  1  2  13   9   5  -4 114 118   20    3   1   0   2   0  A
  28   RS vQUE  W(119-97)  0  1  2094   6  16   6  16   0   0   1   2   1   1   6   8   0   8  2 14 16   0  2  1  13  13   2  21 106  85   17    0   2   0   1   0  A
  35   RS @WIL   L(70-95)  0  1   600   0   3   0   3   0   0   0   0   0   0   0   1   0   2  1  2  3   0  1  0   0   0   0 -13  18  31    3    0   1   0   0   0  A
  36   RS vWIL  W(111-94)  0  0  1453   3   5   3   5   0   0   2   6   1   3   2   4   1   1  9  7 16   0  1  3   8   6   3  18  68  50    8    0   1   0   3   0  A
  37   RS @BRE  W(111-86)  0  1  1716   7  11   7  11   0   0   2   2   0   0   6   8   1   3  4  1  5   1  3  1  16  14   0  11  79  68   13    1   3   0   1   0  A
  44   RS vHAR  W(109-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
