Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  0   979   2   7   2   4   0   3   3   3   0   0   1   2   1   2  2  4  6   0  1  1   7   2   0 -10  32  42    9    1   1   0   0   1  A
   4   RS vLAT  W(114-95)  0  0   653   2   5   1   4   1   1   0   0   0   0   1   2   0   2  1  0  1   0  1  0   5   2   0 -11  18  29    5    0   1   0   0   0  A
   8   RS @KEN   W(99-79)  0  0   633   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  2  2   1  0  0   0   0   0  10  28  18    1    1   0   0   0   0  A
  12   RS vLAT  L(77-107)  0  0   909   3  12   1   7   2   5   0   0   0   0   1   4   0   3  1  4  5   0  3  0   8   2   0  -5  29  34   12    0   1   2   0   0  A
  14   RS @HAR   W(91-78)  0  0   600   2   4   2   3   0   1   1   3   1   1   1   1   1   2  1  1  2   0  0  1   5   2   2  -2  20  22    5    0   0   0   0   1  A
  20   RS vHAR W(112-105)  1  0   874   2   5   2   3   0   2   0   0   0   0   2   2   0   1  0  5  5   0  1  0   4   4   0  12  43  31    5    0   0   1   0   0  A
  24   RS @KEN L(114-118)  1  0    25   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -1   0   1    0    0   0   0   0   0  A
  28   RS vQUE  W(119-97)  0  0   574   1   2   1   2   0   0   0   0   0   0   1   2   0   0  1  2  3   0  0  0   2   2   0  -6  19  25    2    0   0   0   0   0  A
  35   RS @WIL   L(70-95)  0  0   144   0   4   0   3   0   1   0   0   0   1   0   3   0   0  2  0  2   0  0  0   0   0   0  -8   0   8    4    0   0   0   0   0  A
  36   RS vWIL  W(111-94)  0  0   600   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  1  1   0  1  0   3   0   0   4  29  25    1    0   1   0   0   0  A
  37   RS @BRE  W(111-86)  0  0   879   2   4   1   2   1   2   0   0   1   1   1   2   0   0  1  7  8   0  0  0   5   2   2  23  45  22    4    0   0   0   0   0  A
  44   RS vHAR  W(109-94)  0  0   684   6  11   3   8   3   3   0   0   0   1   2   4   1   4  2  0  2   0  0  0  15   4   2   8  30  22   11    0   0   0   0   0  A
