Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   6   RS vLAT   W(96-65)  0  1  1509   4   9   1   4   3   5   2   2   0   0   1   2   0   2  0  4  4  11  1  1  13   2   0  27  68  41   29   19   1   0   0   1  A
  10   RS @LAT   W(90-86)  0  1  2324   3  13   3   9   0   4   4   7   0   0   1   2   2   7  0  6  6  15  2  3  10   2   0   5  86  81   52   36   2   0   0   3  A
  14   RS vRAY   L(78-91)  0  1   881   2  11   1   5   1   6   4   4   0   0   0   1   1   4  0  3  3   4  0  2   9   0   0  -6  25  31   24   11   0   0   0   2  A
  16   RS @KEN  L(85-101)  0  1  1478   4  10   3   8   1   2   5   5   0   0   0   1   3   7  0  4  4   8  0  2  14   0   0 -11  55  66   26   14   0   0   0   2  A
  18   RS @LAT   L(88-91)  0  1  1800   6  12   3   9   3   3   9  11   0   0   0   1   3   8  0  2  2  10  2  4  24   0   2  -4  61  65   38   22   0   2   0   4  A
  20   RS @RAY L(105-112)  1  1  2001   6  20   4  12   2   8   0   0   0   0   0   1   4  11  0  3  3  16  2  0  14   0   2  -7  80  87   49   29   1   1   0   0  A
  22   RS vKEN   W(99-92)  0  1  1642   3   7   1   4   2   3   0   0   0   0   0   1   1   3  0  1  1  12  2  0   8   0   2   4  66  62   32   25   0   2   0   0  A
  25   RS @CRO  W(101-92)  0  1  1177   2   4   2   4   0   0   2   2   0   0   0   0   2   4  0  1  1   6  2  1   6   0   0   4  48  44   21   16   0   2   0   1  A
  30   RS vBRE   W(91-77)  0  1  1800   1  10   1   8   0   2   6   6   0   0   0   3   1   5  0  0  0   6  1  3   8   0   0  16  68  52   27   14   1   0   0   3  A
  31   RS @QUE   W(96-90)  0  1  2270   7  11   5   8   2   3   4   5   0   0   1   1   4   7  0  6  6  13  2  2  20   2   2  12  96  84   38   25   1   1   0   2  A
  38   RS vQUE  W(105-83)  0  1  1997   5   7   5   6   0   1   4   4   0   0   0   0   5   6  0  5  5  12  0  2  14   0   0  22  91  69   31   22   0   0   0   2  A
  44   RS @RAY  L(94-109)  0  1   928   2   4   2   3   0   1   2   2   0   0   0   0   2   3  0  2  2   4  3  1   6   0   0 -14  34  48   17   12   1   2   0   1  A
  46   RS vLAT  L(92-100)  0  1  1800   4  10   3   6   1   4   2   2   0   0   0   2   3   4  0  3  3   8  0  1  11   0   4  -2  68  70   31   20   0   0   0   1  A
  48   RS @KEN  L(95-114)  0  1  1996   3   8   2   5   1   3   2   2   0   0   1   2   1   3  0  1  1   5  2  1   9   2   0 -25  72  97   30   21   2   0   0   1  A
