Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   3   RS vBRE   W(93-74)  0  1  2148   9  19   8  12   1   7   0   0   2   2   3   5   5   7  4  8 12   8  2  0  19   6   6  18  85  67   35   16   1   1   0   0  A
  11   RS vCRO  W(110-95)  0  1  2400  10  19   7  15   3   4   2   2   0   0   2   4   5  11  1  3  4  18  1  1  25   4   0  15 110  95   50   30   0   1   0   1  A
  13   RS @BRE  L(99-111)  0  1  2400   7  14   5  10   2   4   4   5   0   0   2   2   3   8  2  1  3   9  2  2  20   4   5 -12  99 111   40   24   0   2   0   2  A
  15   RS @QUE  W(101-89)  0  1  1807   3   9   3   8   0   1   1   3   0   0   1   2   2   6  0  2  2  10  2  1   7   2   2  13  76  63   32   22   1   1   0   1  A
  19   RS vBRE L(107-108)  0  1  2400   8  12   8  11   0   1   7   7   2   2   4   4   4   7  3  2  5  14  1  3  23  12  11  -1 107 108   42   27   0   1   2   1  A
  27   RS vKEN  W(113-79)  0  1  1451   7  10   6   7   1   3   5   5   0   0   4   4   2   3  0  0  0   5  2  2  20  10   0  31  75  44   26   14   1   1   1   1  A
  32   RS @KEN  W(108-91)  0  1  1635   5  11   5   9   0   2   0   0   2   2   3   3   2   6  3  1  4  14  3  0  10   6   4  15  78  63   30   19   1   2   0   0  A
  35   RS vRAY   W(95-70)  0  1  1800   4  10   3   6   1   4   0   0   0   0   0   1   3   5  0  3  3   9  0  0   9   0   0  27  77  50   28   18   0   0   0   0  A
  36   RS @RAY  L(94-111)  0  1  2400   8  17   7  14   1   3   3   4   0   0   2   3   5  11  1  5  6  11  2  2  20   6   2 -17  94 111   46   27   2   0   1   1  A
  41   RS @CRO   L(74-77)  0  1  1833   4  13   4  12   0   1   1   2   0   0   2   3   2   9  2  2  4   7  0  1   9   4   2  -6  57  63   32   18   0   0   0   1  A
  43   RS vCRO L(101-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  45   RS @BRE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  49   RS @CRO   L(84-85)  0  1  2269   9  18   9  15   0   3   1   2   0   0   4   5   5  10  1  2  3   6  2  1  19   9   0   2  79  77   44   25   1   1   1   0  A
