Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  1  2191   5  11   2   2   3   9   3   3   0   0   0   0   2   2  0  3  3   7  1  1  16   0   3 -17  73  90   33   21   0   1   0   1  A
  16   RS vHAR  W(101-85)  0  1  2078   8  12   4   5   4   7   2   2   0   0   0   0   4   5  1  3  4  12  0  1  22   0   0  21  92  71   31   18   0   0   0   1  A
  22   RS @HAR   L(92-99)  0  1  2161   6  13   4   6   2   7  10  11   0   1   1   2   3   4  2  1  3  10  2  4  24   2   0  -7  82  89   39   22   1   1   0   4  A
  24   RS vRAY W(118-114)  1  1  2700   6  13   2   4   4   9   2   2   0   0   0   2   2   2  1  8  9  16  1  1  18   0   3   4 118 114   43   29   0   1   0   1  A
  27   RS @WIL  L(79-113)  0  1  1451   7  11   3   6   4   5   1   2   1   1   2   5   1   1  1  2  3   5  1  1  19   4   2 -31  44  75   24   12   0   1   0   1  A
  32   RS vWIL  L(91-108)  0  1  2400   7   9   5   6   2   3   5   5   0   0   0   0   5   6  0  6  6   7  0  2  21   0   2 -17  91 108   34   23   0   0   0   2  A
  39   RS @QUE   L(88-97)  0  1  2400   5  16   3   9   2   7   4   5   0   1   0   3   3   6  1  3  4   8  0  2  16   2   0  -9  88  97   41   23   0   0   1   1  A
  40   RS vBRE   W(92-84)  0  1  2400  10  13   6   7   4   6   3   3   0   0   0   1   6   6  1  4  5   5  0  1  27   0   2   8  92  84   29   15   0   0   0   1  A
  42   RS @LAT   W(98-75)  0  1  2156   9  18   4   9   5   9   3   3   0   0   0   2   4   7  2  5  7   7  1  1  26   0   0  21  88  67   41   22   0   1   0   1  A
  48   RS vHAR  W(114-95)  0  1  1996   9  14   4   7   5   7   6   6   0   0   0   0   4   7  1  1  2   9  1  2  29   0   8  25  97  72   33   17   0   1   0   2  A
