Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  0   209   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -3   6   9    0    0   0   0   0   0  A
  16   RS vHAR  W(101-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  27   RS @WIL  L(79-113)  0  0   949   1   6   0   3   1   3   9  10   0   0   0   2   0   1  1  2  3   0  1  4  12   4   5  -3  35  38   10    0   1   0   2   2  A
  32   RS vWIL  L(91-108)  0  0   340   1   2   0   0   1   2   0   0   0   0   0   0   0   0  0  0  0   0  1  0   3   0   0   1  13  12    2    0   1   0   0   0  A
  39   RS @QUE   L(88-97)  0  0   874   3   4   2   2   1   2   0   0   0   0   2   2   0   0  1  2  3   0  2  0   7   4   5   2  32  30    6    2   2   0   0   0  A
  40   RS vBRE   W(92-84)  0  0    33   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   1   4   3    0    0   0   0   0   0  A
  42   RS @LAT   W(98-75)  0  0  1800   5  12   4   9   1   3   0   0   1   1   4   7   0   2  5  6 11   0  0  0  11   8   2  34  84  50   12    0   0   0   0   0  A
  48   RS vHAR  W(114-95)  0  1  1996   8  12   5   7   3   5   4   4   0   1   3   4   2   3  2  6  8   1  1  2  23   8   0  25  97  72   15    1   1   0   1   1  A
