Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  0   413   2   4   2   2   0   2   0   0   0   0   0   0   2   2  0  1  1   1  1  0   4   0   0  -2  15  17    5    1   1   0   0   0  A
   4   RS vLAT  W(114-95)  0  0   111   1   2   0   1   1   1   0   0   0   0   0   0   0   1  0  1  1   0  0  0   3   0   0   2   6   4    2    0   0   0   0   0  A
   8   RS @KEN   W(99-79)  0  0   175   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0   3   9   6    1    0   0   0   0   0  A
  12   RS vLAT  L(77-107)  0  0   209   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   0  0  0   0   0   0  -8   6  14    1    0   0   0   0   0  A
  14   RS @HAR   W(91-78)  0  0   154   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  1  1   0  0  0   0   0   0   2   7   5    1    0   0   0   0   0  A
  20   RS vHAR W(112-105)  1  0    26   0   0   0   0   0   0   1   2   0   0   0   0   0   0  0  0  0   0  0  1   1   0   0   4   4   0    1    0   0   0   0   1  A
  24   RS @KEN L(114-118)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  28   RS vQUE  W(119-97)  0  0   306   1   2   1   2   0   0   0   0   0   0   1   2   0   0  0  0  0   0  0  0   2   2   0   1  13  12    2    0   0   0   0   0  A
  35   RS @WIL   L(70-95)  0  0   600   0   4   0   4   0   0   2   2   0   1   0   2   0   2  1  1  2   2  0  1   2   0   0   2  20  18    7    2   0   0   0   1  A
  36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  37   RS @BRE  W(111-86)  0  0   247   1   2   1   2   0   0   0   0   0   0   1   1   0   1  1  1  2   1  0  0   2   2   0   7  11   4    3    1   0   0   0   0  A
  44   RS vHAR  W(109-94)  0  0   242   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  0  0   0  0  0   0   0   0  -7   6  13    2    1   0   0   0   0  A
