Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS @CRO  L(97-105)  0  0  1628  12  20   7  11   5   9   1   5   0   0   3   4   4   7  0  3  3   3  2  2  30   6   2  -3  68  71   29    7   1   1   0   2  A
   3   RS @WIL   L(74-93)  0  0  1990   4  10   2   6   2   4   4  13   0   0   0   0   2   6  0  2  2   0  1  5  14   0   4 -17  60  77   19    4   0   1   0   5  A
   5   RS vCRO   W(94-70)  0  0   600   0   1   0   0   0   1   1   6   0   0   0   0   0   0  0  1  1   0  0  2   1   0   0  -4  14  18    5    2   0   0   0   2  A
   7   RS @QUE  L(96-102)  0  0   969   5   9   2   4   3   5   0   0   0   0   2   3   0   1  1  1  2   1  1  0  13   4   0   0  42  42   14    5   0   1   0   0  A
  13   RS vWIL  W(111-99)  0  0   798   2   6   1   4   1   2   1   2   0   0   1   1   0   3  0  1  1   1  0  1   6   2   0   1  34  33    9    2   0   0   0   1  A
  17   RS @CRO W(105-100)  0  0  1269   4  10   0   2   4   8   3   7   0   0   0   0   0   2  0  2  2   2  1  3  15   0   0   4  56  52   17    4   0   1   0   3  A
  19   RS @WIL W(108-107)  0  0  1647   7  11   3   3   4   8   2   4   0   0   1   1   2   2  1  4  5   5  3  2  20   2   4   2  74  72   20    7   2   1   0   2  A
  21   RS vQUE  L(97-106)  0  0   859   2   7   1   4   1   3   0   5   0   0   1   4   0   0  2  2  4   2  0  2   5   2   0  -4  28  32   13    4   0   0   0   2  A
  29   RS vLAT  W(109-87)  0  0   981   1   6   0   2   1   4   1   3   0   0   0   2   0   0  0  2  2   0  4  1   4   0   0  12  43  31   10    3   0   4   0   1  A
  30   RS @HAR   L(77-91)  0  0   962   3   5   2   2   1   3   1   2   0   0   1   1   1   1  0  0  0   1  0  1   8   3   0 -12  29  41    7    1   0   0   1   0  A
  34   RS @LAT W(102-100)  0  0  1230   1   8   0   4   1   4   0   0   0   0   0   3   0   1  2  0  2   2  3  0   3   0   0  -2  48  50   14    6   2   1   0   0  A
  37   RS vRAY  L(86-111)  0  0   953   1   4   1   3   0   1   3   4   0   0   1   2   0   1  0  0  0   2  0  2   5   2   0 -12  31  43    9    3   0   0   0   2  A
  40   RS @KEN   L(84-92)  0  0  1386   6  12   2   3   4   9   2   2   0   0   0   1   2   2  0  1  1   0  0  1  18   0   3   7  60  53   17    4   0   0   0   1  A
  45   RS vWIL   L(81-82)  0  0   829   5   7   4   6   1   1   0   3   0   1   0   1   4   5  1  1  2   1  0  1  11   0   4  -7  26  33    9    1   0   0   0   1  A
  47   RS @QUE   W(94-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
