Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  1  1374   7  10   7  10   0   0   1   2   1   1   6   8   1   2  1  5  6   1  4  1  15  13   4   1  60  59   12    1   2   2   1   0  S
   4   RS @RAY  L(95-114)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   6   RS @HAR   L(65-96)  0  1  1800   7  13   6  12   1   1   0   0   0   1   4  10   2   2  2  3  5   1  2  0  15   8   0 -29  48  77   15    2   2   0   0   0  A
  10   RS vHAR   L(86-90)  0  1  2400   5  12   5  11   0   1   0   0   1   1   4   7   1   4  1 12 13   0  2  0  10   8   2  -4  86  90   12    0   2   0   0   0  A
  12   RS @RAY  W(107-77)  0  1  2214   9  10   9  10   0   0   3   4   0   0   8   8   1   2  1 11 12   1  1  2  21  19   0  20  93  73   13    1   1   0   2   0  A
  18   RS vHAR   W(91-88)  0  1  2400   6  15   6  14   0   1   1   2   1   1   5   8   1   6  4  9 13   1  1  1  13  10   2   3  91  88   18    2   0   1   0   1  A
  26   RS vQUE  W(105-96)  0  1  2043   7  12   7  12   0   0   2   2   0   0   5   9   2   3  4  5  9   1  2  1  16  12   2   8  86  78   16    3   2   0   1   0  A
  29   RS @BRE  L(87-109)  0  1  1680   2   7   2   6   0   1   1   2   0   0   1   4   1   2  4  6 10   0  1  1   5   3   0  -2  60  62    9    1   0   1   1   0  A
  33   RS @CRO   L(76-99)  0  1  1995   4   7   4   6   0   1   0   0   0   0   4   5   0   1  2  5  7   0  1  0   8   8   2 -22  62  84    8    1   1   0   0   0  A
  34   RS vBRE L(100-102)  0  1  1800   8  18   8  16   0   2   0   0   2   2   6  12   2   4  3  3  6   0  3  0  16  12   4  -5  72  77   18    0   1   2   0   0  A
  42   RS vKEN   L(75-98)  0  1  2156   8  14   8  14   0   0   0   0   0   0   7  10   1   4  5 10 15   0  2  0  16  14   2 -21  67  88   14    0   1   1   0   0  A
  46   RS @HAR  W(100-92)  0  1  1797  11  14  10  12   1   2   2   6   5   6   6   8   4   4 10  7 17   1  4  3  25  13  15  18  79  61   19    2   4   0   2   1  A
