Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS @CRO  L(97-105)  0  1  1124   4   7   4   5   0   2   0   0   1   1   4   5   0   0  2  4  6   0  3  0   8   8   4  -6  38  44    7    0   2   1   0   0  A
   3   RS @WIL   L(74-93)  0  1  1800   4  13   4   9   0   4   5   6   0   0   4   8   0   1  2  8 10   0  1  3  13  13   1  -9  58  67   18    2   1   0   3   0  A
   5   RS vCRO   W(94-70)  0  1  1800   8  15   4   7   4   8   3   3   0   0   4   7   0   0  0  6  6   1  0  1  23   8   2  28  80  52   17    1   0   0   0   1  A
   7   RS @QUE  L(96-102)  0  1  2257   2   9   1   6   1   3   9  10   0   1   1   4   0   2  3  7 10   2  1  4  14   4   2  -4  87  91   15    2   1   0   1   3  A
  13   RS vWIL  W(111-99)  0  1  2400  11  18   5   9   6   9   3   3   0   1   4   8   1   1  3  7 10   0  2  1  31   8   0  12 111  99   19    0   2   0   0   1  A
  17   RS @CRO W(105-100)  0  1  1131   6   9   4   5   2   4   0   0   0   0   4   5   0   0  0  3  3   2  3  0  14   8   2   1  49  48   12    3   1   2   0   0  A
  19   RS @WIL W(108-107)  0  1  1200   3  11   3   4   0   7   3   3   0   0   2   3   1   1  2  1  3   0  0  1   9   4   5  -8  45  53   14    2   0   0   0   1  A
  21   RS vQUE  L(97-106)  0  1  1541   2   9   0   3   2   6   4   4   0   0   0   2   0   1  4  1  5   0  1  2  10   4   0  -5  69  74   11    0   0   1   2   0  A
  29   RS vLAT  W(109-87)  0  1  2187  11  19  10  15   1   4   8   8   1   1   7  12   3   3  2 12 14   0  0  4  31  22   6  15  93  78   26    3   0   0   4   0  A
  30   RS @HAR   L(77-91)  0  1  1359   3   8   3   6   0   2   0   0   0   0   2   4   1   2  0  6  6   0  2  0   6   4   0 -15  35  50    9    1   0   2   0   0  A
  34   RS @LAT W(102-100)  0  1  1632   9  12   8  10   1   2   4   4   2   2   8   9   0   1  2  6  8   0  3  2  23  20   6   9  65  56   14    0   1   2   2   0  A
  37   RS vRAY  L(86-111)  0  1  1800   3  12   0   4   3   8   6   7   0   0   0   3   0   1  1  4  5   0  1  3  15   4   3 -14  70  84   16    1   1   0   2   1  A
  40   RS @KEN   L(84-92)  0  1  2163  11  23   9  16   2   7   2   2   0   1   7  13   2   3  5  8 13   1  1  1  26  14   4  -7  76  83   28    4   1   0   0   1  A
  45   RS vWIL   L(81-82)  0  1  2400   8  13   6   9   2   4   2   2   0   0   5   7   1   2  2 10 12   0  2  1  20  12   4  -1  81  82   17    3   2   0   1   0  A
  47   RS @QUE   W(94-86)  0  1  2400   8  19   5  12   3   7  10  11   1   1   4  10   1   2  5 10 15   0  3  5  29  10   7   8  94  86   24    0   2   1   1   4  A
