Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  1  2400   4  12   2   4   2   8   0   0   0   0   2   3   0   1  0  2  2  15  0  0  10   4   0   8 107  99   40   28   0   0   0   0  A
   4   RS @RAY  L(95-114)  0  1  1638   1   7   0   4   1   3   1   2   0   0   0   3   0   1  0  2  2  15  1  1   4   1   0  -3  68  71   32   24   0   1   1   0  A
   6   RS @HAR   L(65-96)  0  1   919   1   7   1   6   0   1   0   0   0   0   1   4   0   2  0  0  0   2  1  0   2   2   2 -20  25  45   19   12   1   0   0   0  A
  10   RS vHAR   L(86-90)  0  1  1189   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   5  3  0   0   0   0  -6  41  47   18   18   1   2   0   0  A
  12   RS @RAY  W(107-77)  0  1  2214   3   5   3   4   0   1   4   4   0   0   3   4   0   0  0  2  2  15  1  2  10  10   0  20  93  73   42   35   0   1   2   0  A
  18   RS vHAR   W(91-88)  0  1  2400   4  11   1   6   3   5   2   2   0   0   0   4   1   2  0  4  4  11  2  1  13   2   2   3  91  88   45   33   0   2   1   0  A
  26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  29   RS @BRE  L(87-109)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  33   RS @CRO   L(76-99)  0  1  1493   3   9   2   6   1   3   3   4   0   0   1   3   1   3  2  1  3   4  2  2  10   5   2 -21  44  65   27   16   1   1   2   0  A
  34   RS vBRE L(100-102)  0  1  1448   3   8   1   4   2   4   0   0   0   0   0   0   1   4  1  2  3   6  2  0   8   0   0 -10  61  71   29   21   2   0   0   0  A
  42   RS vKEN   L(75-98)  0  1  1399   1   4   1   3   0   1   0   0   0   0   1   3   0   0  0  2  2   7  0  0   2   2   0 -10  47  57   19   15   0   0   0   0  A
  46   RS @HAR  W(100-92)  0  1  2400   1   8   1   7   0   1   4   4   0   0   1   6   0   1  0  2  2  21  1  2   6   4   0   8 100  92   49   39   0   1   1   1  A
