Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   4   RS vLAT  W(114-95)  0  0   111   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   2   6   4    0    0   0   0   0   0  A
   8   RS @KEN   W(99-79)  0  0   175   0   2   0   2   0   0   0   0   0   0   0   1   0   1  0  1  1   0  0  0   0   0   0   3   9   6    2    0   0   0   0   0  A
  12   RS vLAT  L(77-107)  0  0   230   1   2   1   2   0   0   0   0   0   0   1   2   0   0  1  0  1   0  0  0   2   2   0 -10   6  16    2    0   0   0   0   0  A
  14   RS @HAR   W(91-78)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  20   RS vHAR W(112-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  24   RS @KEN L(114-118)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  28   RS vQUE  W(119-97)  0  0   306   1   1   1   1   0   0   0   2   0   0   1   1   0   0  0  0  0   0  1  1   2   2   0   1  13  12    2    0   0   1   1   0  A
  35   RS @WIL   L(70-95)  0  0   600   0   3   0   3   0   0   0   0   0   0   0   3   0   0  2  4  6   0  1  0   0   0   0   2  20  18    3    0   0   1   0   0  A
  36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  37   RS @BRE  W(111-86)  0  0   247   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   0   7  11   4    1    0   0   0   0   0  A
  44   RS vHAR  W(109-94)  0  0   242   1   1   1   1   0   0   0   0   0   0   1   1   0   0  1  1  2   0  0  0   2   2   2  -7   6  13    1    0   0   0   0   0  A
