Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  0    19   0   0   0   0   0   0   2   2   0   0   0   0   0   0  0  0  0   0  0  1   2   0   2   4   4   0    1    0   0   0   0   1  A
   4   RS @RAY  L(95-114)  0  0   111   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0  -2   4   6    3    3   0   0   0   0  A
   6   RS @HAR   L(65-96)  0  0   600   0   3   0   2   0   1   0   0   0   0   0   1   0   1  1  0  1   3  2  0   0   0   0  -2  17  19    7    4   0   2   0   0  A
  10   RS vHAR   L(86-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  12   RS @RAY  W(107-77)  0  0   186   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  0  0   1  0  0   3   0   0  10  14   4    3    2   0   0   0   0  A
  18   RS vHAR   W(91-88)  0  0    24   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -1   2   3    0    0   0   0   0   0  A
  26   RS vQUE  W(105-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  29   RS @BRE  L(87-109)  0  0   333   0   2   0   2   0   0   0   0   0   0   0   2   0   0  0  0  0   4  0  0   0   0   0  -9  13  22    6    4   0   0   0   0  A
  33   RS @CRO   L(76-99)  0  0   405   3   4   3   3   0   1   2   3   0   0   0   0   3   3  0  0  0   3  0  1   8   0   0  -1  14  15   12    7   0   0   0   1  A
  34   RS vBRE L(100-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  42   RS vKEN   L(75-98)  0  0   244   1   4   1   4   0   0   0   0   0   0   1   2   0   2  2  0  2   0  0  0   2   2   2  -2   8  10    5    1   0   0   0   0  A
  46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
