Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
   7   RS vBRE  W(102-96)  0   15    16  40  75  33  64   7  11  15  18   1   2  18  35  15  29 10 33 43  18 14 102  45  13   84  126   42   8   6   24    8   10   31   75   21   50   10   25   24   32    0    3   17   39    4   11  14  26  40   18   9   96   45    8    89   137    48    6    3    29     9    13 24-31,25-18,24-23,29-24
   9   RS @CRO   L(81-82)  0    7     8  33  73  30  59   3  14  12  18   1   1  19  32  11  27  6 36 42  22  5  81  48   7   82  136   54   4   1   15    6    6   36   87   32   72    4   15    6   10    2    3   20   34   12   38  17  37  54   23   9   82   44   17    92   144    52    7    2    24     7     7 18-23,18-18,22-13,23-28
  15   RS vWIL  L(89-101)  0    2     3  36  77  30  59   6  18  11  14   1   2  25  37   5  22  8 30 38  21 11  89  58   5   84  124   40   7   4   38    2    6   39   80   33   63    6   17   17   24    3    5   21   41   12   22  14  34  48   19   7  101   54   12    91   139    48    5    2    11    15     7 14-22,25-20,25-32,25-27
  21   RS @BRE  W(106-97)  0   10     9  42  74  35  57   7  17  15  18   0   0  22  30  13  27  9 30 39  34 18 106  49  13   82  135   53  13   5   30   10    9   34   75   28   53    6   22   23   37    2    2   22   38    6   15  19  24  43   20   8   97   61   20    93   150    57    4    4    13     7     7 24-29,34-22,22-28,26-18
  23   RS vCRO L(119-120)  1    4    15  47  89  37  67  10  22  15  16   1   3  19  38  18  29  8 33 41  34 15 119  45   9   96  166   70   6   9   18   14   11   42   89   36   71    6   18   30   36    4    7   24   45   12   26  18  34  52   28   7  120   58   19   104   162    58    4    3    65     6     8 27-13,23-25,19-28,34-37,16-17
  26   RS @LAT  L(96-105)  0    7     4  35  78  31  64   4  14  22  33   3   6  19  33  12  31 17 30 47  16  8  96  53  16   94  147   53   4   4   57    2   10   41   78   34   65    7   13   16   19    2    4   18   36   16   29   9  32  41   22  16  105   43   12    86   127    41   12    4    19    25     9 19-33,25-30,32-16,20-26
  28   RS @RAY  L(97-119)  0    1     1  36  82  29  61   7  21  18  26   3   3  21  31   8  30 17 24 41  20 12  97  52  14   94  144   50   5   7   25    1   10   45   74   35   57   10   17   19   28    3    3   24   32   11   25   8  34  42   23  12  119   52    8    86   134    48    8    4    29    23    16 19-23,16-27,35-36,27-33
  31   RS vHAR   L(90-96)  0    9     5  34  86  25  57   9  29  13  14   2   3  17  29   8  28 16 30 46  24  9  90  39  22   92  146   54   5   4   14    9    8   39   77   35   63    4   14   14   21    3    4   27   45    8   18  12  36  48   24   6   96   60   16    86   131    45    3    3    10     8     8 26-24,23-19,25-28,16-25
  38   RS @HAR  L(83-105)  0    3     4  37  85  34  68   3  17   6  10   3   4  21  40  13  28 15 23 38  21  8  83  45  20   90  135   45   2   6   25    4    5   43   73   40   61    3   12   16   20    2    2   23   34   17   27   8  36  44   30   5  105   47   13    81   137    56    3    2    17    25     6 24-33,19-26,19-21,21-25
  39   RS vKEN   W(97-88)  0    2     6  42  79  39  63   3  16  10  14   1   1  22  30  17  33 10 39 49  28  7  97  52  11   86  131   45   3   4   14   14    9   33   89   22   59   11   30   11   16    0    4   17   40    5   19  19  29  48   17   7   88   38   11    96   138    42    6    1    21     3     7 37-28,19-24,19-13,22-23
  47   RS vBRE   L(86-94)  0    4     7  35  81  30  67   5  14  11  16   0   0  23  46   7  21  9 38 47  24 11  86  56   7   89  147   58   3   8   14    5    7   34   81   25   57    9   24   17   23    1    2   21   46    4   11  12  41  53   21   8   94   48   17    92   143    51    7    1    11    10     8 24-28,23-21,16-21,23-24
