Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
   2   RS @LAT  L(99-107)  0    6     2  40  82  34  54   6  28  13  18   1   1  20  29  14  25 11 31 42  20 19  99  44  12   89  137   48  11   8   27   13    8   35   72   29   55    6   17   31   41    3    3   22   34    7   21  13  33  46   22   7  107   60   17    91   140    49    3    4     6     9     7 30-21,22-30,25-31,22-25
   4   RS vLAT  W(114-95)  0    2     2  45  82  32  52  13  30  11  11   2   2  24  33   8  19 11 35 46  25 11 114  52  20   87  133   46   6   5   60   21   13   36   78   28   63    8   15   15   22    2    3   21   41    7   22  12  26  38   21   5   95   50   16    89   129    40    2    3     6    15    10 17-22,26-33,31-24,40-16
   8   RS @KEN   W(99-79)  0    0     0  39  83  28  58  11  25  10  11   2   3  19  33   9  25 11 44 55  21  7  99  41  11   88  132   44   1   6   18   20   10   30   88   24   58    6   30   13   18    4    5   19   35    5   23  16  33  49   19   5   79   40   23    95   140    45    2    3    15     0     7 27-20,20-19,29-24,23-16
  12   RS vLAT  L(77-107)  0    8     9  33  83  26  54   7  29   4   5   1   3  19  34   7  20  9 28 37  22 15  77  39   4   85  133   48  12   3   23    4    5   39   68   33   58    6   10   23   32    0    0   21   35   12   23   6  41  47   22   2  107   58    7    83   132    49    1    1    31    30    10 25-21,20-29,15-32,17-25
  14   RS @HAR   W(91-78)  0    1     6  35  83  28  61   7  22  14  19   3   6  18  33  10  28 14 41 55  24  9  91  46  20   92  151   59   6   3   32   15   11   29   78   24   53    5   25   15   18    1    2   15   32    9   21   9  36  45   17   9   78   39    4    87   132    45    6    3    18     2     8 24-16,20-22,18-23,29-17
  20   RS vHAR W(112-105)  1   20    18  44  89  32  54  12  35  12  16   1   1  24  29   8  25  8 42 50  22 11 112  54  10   97  146   49   5   6   18    7    6   41   96   35   69    6   27   17   24    6    7   26   39    9   30  18  40  58   22   8  105   59   21   107   160    53    4    4    19     9     7 24-31,27-18,20-19,21-24,20-13
  24   RS @KEN L(114-118)  1   13    12  44  94  36  69   8  25  18  23   7   9  26  45  10  24 15 37 52  19 10 114  62  23  104  151   47   4   6   37    3   10   43   88   29   51   14   37   18   22    2    3   19   34   10   17   9  37  46   23  10  118   44   13    98   140    42    7    3    13    21     6 28-29,18-27,24-28,35-21,9-13
  28   RS vQUE  W(119-97)  0    1     1  45  74  35  57  10  17  19  28   3   3  24  32  11  25  8 34 42  23 12 119  52   8   86  134   48   8   4   29   23   16   36   82   29   61    7   21   18   26    3    3   21   31    8   30  17  24  41   20  12   97   52   14    94   144    50    5    7    25     1    10 23-19,27-16,36-35,33-27
  35   RS @WIL   L(70-95)  0    2     2  26  80  17  56   9  24   9  11   0   4  12  30   5  26 12 29 41  15  8  70  27   2   85  132   47   6   2   31    1    8   40   79   37   66    3   13   12   17    4    6   26   44   11   22  14  43  57   18   5   95   59   16    87   127    40    2    3    18    30    10 18-31,14-23,18-23,20-18
  36   RS vWIL  W(111-94)  0   10     9  41  79  30  47  11  32  18  27   5   8  23  33   7  14 20 27 47  21  9 111  57  25   91  133   42   5   4   34   20    8   37   76   34   65    3   11   17   20    2    3   21   32   13   33  13  23  36   19  12   94   52   14    85   136    51    8    4    20     6     7 21-25,29-25,30-21,31-23
  37   RS @BRE  W(111-86)  0    3     8  44  78  36  56   8  22  15  16   2   3  24  34  12  22 14 32 46  27 10 111  57  19   85  134   49   6   4   33   25    9   32   69   25   45    7   24   15   22    2    2   22   35    3   10   7  20  27   17   7   86   51   12    79   128    49    5    2    13     6     6 33-29,27-19,24-22,27-16
  44   RS vHAR  W(109-94)  0    4    10  41  81  32  57   9  24  18  21   2   3  17  27  15  30 13 32 45  24 13 109  43  13   90  139   49   6   7   23   22    8   36   69   33   55    3   14   19   28    1    1   21   33   12   22   5  29  34   19   9   94   49    6    82   121    39    5    4    46     2     7 28-20,24-20,35-30,22-24
