Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  7.9 PF1  24    4  RAY  68.0  24.0   8.0 105.0 100.0  49.0  31.0 101.0  20.0  32.0  57.0  79.0   38.0  59.0  17.0  85.0    0 Y11-D19-RSG2
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 105.0 100.0  50.0  31.0 101.0  20.0  32.0  57.0  79.0   38.0  59.0  17.0  85.0    0 Y11-D21-RSG4
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 102.2 100.0  50.0  31.0 102.0  20.0  32.0  57.0  79.0   38.0  59.0  17.0  85.0    0 Y11-D25-RSG8
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 103.2 100.0  50.0  31.0 102.0  20.0  32.0  57.0  79.0   38.0  59.0  17.0  85.0    0 Y11-D26-RSG9
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 103.2 100.0  50.0  31.0 102.0  20.0  32.0  57.0  79.0   38.0  60.2  17.0  85.0    0 Y11-D32-RSG15
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 103.2 100.0  51.4  31.0 102.0  20.0  32.0  57.0  79.0   38.0  60.2  17.0  85.0    0 Y11-D36-RSG19
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  31.0 102.0  20.0  32.0  54.9  79.0   38.0  60.2  17.0  85.0    0 Y11-D37-RSG20
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  31.0 102.0  20.0  32.0  54.9  79.0   35.7  60.2  17.0  85.0    0 Y11-D38-RSG21
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  31.0 102.0  20.0  32.0  56.7  79.0   35.7  60.2  16.0  85.0    0 Y11-D41-RSG24
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  31.0 102.0  20.0  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D45-RSG28
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  32.3 102.0  20.0  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D52-RSG35
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  32.3 102.0  19.6  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D53-RSG36
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  51.4  32.3 102.0  19.6  32.1  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D54-RSG37
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  52.8  32.3 102.0  19.6  32.1  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D56-RSG39
  7.9 PF1  24    4  RAY  68.4  23.7   7.9 104.4 100.0  52.8  32.3 103.0  19.6  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D61-RSG44
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 104.4 100.0  52.8  32.3 103.0  19.6  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D66-RSG49
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 104.4 100.0  52.8  32.3 103.0  20.0  32.0  56.7  79.0   35.7  60.2  16.0  86.0    0 Y11-D68-RSG51
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 104.4 100.0  52.8  32.3 103.0  20.0  32.0  56.7  80.0   36.7  60.2  16.0  86.0    0 Y11-D69-RSG52
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 104.4 100.0  52.8  33.3 103.0  20.0  32.0  56.7  77.7   34.7  60.2  16.0  86.0    0 Y11-D71-RSG54
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 104.4 100.0  52.8  33.3 103.0  20.0  32.0  53.8  77.7   34.7  60.2  16.0  86.0    0 Y11-D74-RSG57
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 105.4 100.0  52.8  33.3 103.0  20.0  32.0  53.8  77.7   34.7  60.2  16.0  86.0    0 Y11-D75-RSG58
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 105.4 100.0  52.8  33.3 103.0  20.0  32.0  52.4  77.7   34.7  60.2  16.0  86.0    0 Y11-D77-RSG60
  7.9 PF1  24    4  RAY  68.5  23.7   7.8 105.4 100.0  52.8  33.3 104.0  20.0  32.0  52.4  75.0   34.7  60.2  16.0  86.0    0 Y11-D85-RSG68
  7.9 PF1  24    4  RAY  69.0  22.8   8.2 105.4  99.0  53.9  33.3 104.0  20.0  32.0  52.4  75.0   36.6  60.2  16.0  86.0    0 Y11-D86-RSG69
  7.9 PF1  24    4  RAY  68.3  23.6   8.1 105.4  99.0  53.9  33.3 104.0  20.0  32.0  52.4  75.0   36.6  60.2  16.0  86.0    0 Y11-D92-RSG75
  7.9 PF1  24    4  RAY  67.6  24.1   8.3 105.4  99.0  53.9  33.3 104.0  20.0  32.0  52.4  75.0   36.6  60.2  16.0  86.0    0 Y11-D93-RSG76
  7.9 PF1  24    4  RAY  67.6  24.1   8.3 105.4  99.0  53.9  33.3 104.0  20.0  32.0  52.4  75.0   36.6  57.9  16.0  86.0    0 Y11-D96-RSG79
