Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  7.3 SF1  24    4  HAR  34.0  28.0  38.0  98.0  93.4 100.0  33.0  74.0   9.0  39.0  57.0  66.0   56.0  54.0  38.0  73.0    0 Y11-D20-RSG3
  7.3 SF1  24    4  HAR  34.0  28.0  38.0  98.0  93.4 100.0  33.0  74.0   9.0  39.0  57.0  66.0   56.0  54.0  37.0  73.0    0 Y11-D22-RSG5
  7.3 SF1  24    4  HAR  34.0  28.0  38.0  98.0  93.4 100.0  32.0  74.0   9.0  39.0  57.0  66.0   55.0  54.0  37.0  73.0    0 Y11-D23-RSG6
  7.3 SF1  24    4  HAR  35.6  27.3  37.1  99.0  93.4 100.0  32.0  74.0   9.0  39.0  57.0  68.3   55.0  54.0  37.0  73.0    0 Y11-D27-RSG10
  7.3 SF1  24    4  HAR  35.6  27.3  37.1  99.0  93.4 100.0  33.0  74.0   9.0  39.0  57.0  68.3   55.0  54.0  37.0  73.0    0 Y11-D29-RSG12
  7.3 SF1  24    4  HAR  35.6  27.3  37.1  99.0  93.4 100.0  33.0  74.0   7.2  39.0  57.0  68.3   55.0  54.0  37.0  73.0    0 Y11-D31-RSG14
  7.3 SF1  24    4  HAR  35.6  27.3  37.1  99.0  93.4 100.0  33.0  74.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D33-RSG16
  7.3 SF1  24    4  HAR  35.6  27.3  37.1  99.0  93.4 100.0  33.0  75.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D35-RSG18
  7.3 SF1  24    4  HAR  36.3  25.8  37.9  99.0  94.9 100.0  33.0  75.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D37-RSG20
  7.3 SF1  24    4  HAR  36.3  25.8  37.9  99.0  94.9 100.0  34.0  75.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D39-RSG22
  7.3 SF1  24    4  HAR  36.3  25.8  37.9  99.0  94.9 100.0  34.0  76.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D44-RSG27
  7.3 SF1  24    4  HAR  36.3  25.8  37.9  99.0  94.9  98.0  34.0  76.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D45-RSG28
  7.3 SF1  24    4  HAR  36.4  25.8  37.8  99.0  94.9  98.0  34.0  76.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  73.0    0 Y11-D47-RSG30
  7.3 SF1  24    4  HAR  36.4  25.8  37.8  99.0  94.9  98.0  34.0  76.0   7.2  39.0  55.8  68.3   55.0  54.0  37.0  72.0    0 Y11-D56-RSG39
  7.3 SF1  24    4  HAR  37.3  25.4  37.3  99.0  94.9  98.0  34.0  76.0   7.2  39.0  55.8  68.3   55.0  54.0  39.1  72.0    0 Y11-D63-RSG46
  7.3 SF1  24    4  HAR  37.3  25.4  37.3  99.0  94.9  98.0  32.9  76.0   7.2  39.0  55.8  68.3   55.0  54.0  39.1  72.0    0 Y11-D70-RSG53
  7.3 SF1  24    4  HAR  37.3  25.4  37.3  99.0  96.1  98.0  33.9  76.0   7.2  39.0  55.8  68.3   55.0  54.0  39.1  72.0    0 Y11-D71-RSG54
  7.3 SF1  24    4  HAR  37.3  25.4  37.3  99.0  96.1  98.0  33.9  73.2   7.2  38.6  55.8  68.3   55.0  54.0  39.1  72.0    0 Y11-D74-RSG57
  7.3 SF1  24    4  HAR  38.2  23.6  38.2  99.0  96.1  98.0  33.9  73.2   7.2  38.6  55.8  68.3   55.0  54.0  39.1  72.0    0 Y11-D75-RSG58
  7.3 SF1  24    4  HAR  38.2  23.6  38.2  99.0  96.1  98.0  33.9  73.2   7.2  38.6  55.8  68.3   55.0  54.0  38.1  72.0    0 Y11-D76-RSG59
  7.3 SF1  24    4  HAR  38.2  23.6  38.2  99.0  96.1  98.0  33.9  70.9   7.2  38.6  55.8  68.3   55.0  54.0  38.1  72.0    0 Y11-D77-RSG60
  7.3 SF1  24    4  HAR  37.9  24.2  37.9  99.0  96.1  98.0  33.9  70.9   7.2  38.6  55.8  68.3   55.0  54.0  38.1  72.0    0 Y11-D78-RSG61
  7.3 SF1  24    4  HAR  37.9  24.2  37.9  99.0  97.2  98.0  33.9  70.9   7.2  38.6  55.8  68.3   55.0  54.0  38.1  72.0    0 Y11-D84-RSG67
  7.3 SF1  24    4  HAR  37.9  24.2  37.9  97.4  95.3  98.0  33.9  70.9   7.2  38.6  55.8  68.3   56.2  54.0  38.1  72.0    0 Y11-D87-RSG70
  7.3 SF1  24    4  HAR  37.9  24.2  37.9  97.4  95.3  98.0  33.9  70.9   7.2  38.6  55.8  68.3   56.2  54.0  39.1  72.0    0 Y11-D90-RSG73
  7.3 SF1  24    4  HAR  37.8  23.7  38.5  97.4  95.3  98.0  33.9  70.9   7.2  38.6  55.8  68.3   56.2  54.0  39.1  72.0    0 Y11-D95-RSG78
