Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  8.1 SF1  23    3  WIL  32.1  29.0  38.9 100.0  99.0  77.0  23.0  78.0   5.0  27.0  58.0  79.0   52.0  23.4  19.0  86.0    0 Y11-D20-RSG3
  8.1 SF1  23    3  WIL  32.1  29.0  38.9 100.0  99.0  77.0  23.0  78.0   5.0  27.0  58.0  79.0   52.0  23.4  22.7  86.0    0 Y11-D26-RSG9
  8.1 SF1  23    3  WIL  31.5  30.3  38.2 100.0  99.0  77.0  23.0  78.0   5.0  27.0  58.0  79.0   52.0  23.4  22.7  86.0    0 Y11-D29-RSG12
  8.1 SF1  23    3  WIL  31.5  30.3  38.2  99.0  99.0  78.0  23.0  78.0   5.0  27.2  58.0  79.0   51.0  23.4  22.7  86.0    0 Y11-D30-RSG13
  8.1 SF1  23    3  WIL  31.5  30.3  38.2  99.0  99.0  78.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  23.4  21.7  86.0    0 Y11-D44-RSG27
  8.1 SF1  23    3  WIL  31.5  30.3  38.2  99.0  98.0  78.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  23.4  21.7  86.0    0 Y11-D47-RSG30
  8.1 SF1  23    3  WIL  30.8  31.9  37.3  99.0  98.0  77.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  23.4  21.7  86.0    0 Y11-D48-RSG31
  8.1 SF1  23    3  WIL  29.1  32.7  38.2  99.0  98.0  77.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  23.4  21.7  86.0    0 Y11-D49-RSG32
  8.1 SF1  23    3  WIL  29.5  31.8  38.7  99.0  98.0  77.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  26.6  21.7  86.0    0 Y11-D58-RSG41
  8.1 SF1  23    3  WIL  29.5  31.7  38.8  99.0  98.0  77.0  23.0  76.6   5.0  27.2  58.0  79.0   51.0  26.6  21.7  86.0    0 Y11-D67-RSG50
  8.1 SF1  23    3  WIL  29.5  31.7  38.8  99.0  98.0  77.0  23.0  76.6   5.0  27.2  58.0  79.0   52.4  26.6  21.7  86.0    0 Y11-D68-RSG51
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   5.0  27.2  58.0  79.0   52.4  26.6  21.7  86.0    0 Y11-D76-RSG59
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   3.1  27.2  58.0  79.0   52.4  26.6  21.7  86.0    0 Y11-D78-RSG61
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   3.1  27.2  58.0  79.0   52.4  26.6  21.7  85.0    0 Y11-D80-RSG63
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   3.1  27.2  58.0  77.5   52.4  26.6  21.7  85.0    2 Y11-D83-RSG66
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   3.1  27.2  58.0  77.5   52.4  26.6  21.7  85.0    1 Y11-D84-RSG67
  8.1 SF1  23    3  WIL  29.5  31.7  38.8 100.0  98.0  74.8  23.0  76.6   3.1  27.2  58.0  77.5   52.4  26.6  21.7  85.0    0 Y11-D85-RSG68
