Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 10.1  C1  21    1  CRO  62.9  34.0   3.1 111.0  61.0  48.0  45.0 101.0  24.0  28.0  42.0  91.0   20.0  72.0   5.0  61.0    0 Y11-D18-RSG1
 10.1  C1  21    1  CRO  62.3  34.6   3.1 111.0  61.0  48.0  45.0 101.0  24.0  28.0  42.0  91.0   20.0  72.0   5.0  61.0    0 Y11-D22-RSG5
 10.1  C1  21    1  CRO  62.3  34.6   3.1 111.0  61.0  48.0  45.0 101.0  24.0  28.0  42.0  91.0   20.0  70.5   5.0  61.0    0 Y11-D25-RSG8
 10.1  C1  21    1  CRO  62.3  34.6   3.1 112.0  61.0  48.0  45.0  98.9  24.0  28.0  42.0  91.0   20.0  70.5   5.0  62.0    0 Y11-D26-RSG9
 10.1  C1  21    1  CRO  62.3  34.6   3.1 112.0  61.0  51.0  45.0  98.9  24.0  28.0  42.0  91.0   20.0  70.5   5.0  62.0    0 Y11-D31-RSG14
 10.1  C1  21    1  CRO  62.3  34.6   3.1 112.0  61.0  51.0  45.0  98.9  22.9  28.0  42.0  91.0   20.0  70.5   5.0  62.0    0 Y11-D33-RSG16
 10.1  C1  21    1  CRO  62.2  34.7   3.1 112.0  61.0  51.0  45.0  98.9  22.9  28.0  42.0  91.0   20.0  70.5   5.0  62.0    0 Y11-D34-RSG17
 10.1  C1  21    1  CRO  62.2  34.7   3.1 112.0  61.0  51.0  45.0  97.9  22.9  28.0  42.0  91.0   20.0  70.5   5.0  62.0    0 Y11-D37-RSG20
 10.1  C1  21    1  CRO  62.2  34.7   3.1 112.0  60.0  51.0  45.0  97.9  22.9  28.0  42.0  92.0   20.0  70.5   3.5  62.0    0 Y11-D40-RSG23
 10.1  C1  21    1  CRO  62.2  34.7   3.1 113.0  60.0  51.0  45.0  98.9  22.9  28.0  41.0  92.0   20.0  70.5   3.5  62.0    0 Y11-D42-RSG25
 10.1  C1  21    1  CRO  62.2  34.7   3.1 113.0  60.0  51.0  45.0  98.9  22.9  28.0  39.7  92.0   20.0  70.5   3.5  62.0    0 Y11-D49-RSG32
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  52.0  45.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  62.0    0 Y11-D50-RSG33
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  62.0    0 Y11-D51-RSG34
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3    0 Y11-D56-RSG39
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   42 Y11-D58-RSG41
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   41 Y11-D59-RSG42
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   40 Y11-D60-RSG43
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   38 Y11-D61-RSG44
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   38 Y11-D62-RSG45
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   37 Y11-D63-RSG46
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   36 Y11-D64-RSG47
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   34 Y11-D65-RSG48
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   33 Y11-D66-RSG49
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   32 Y11-D67-RSG50
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   31 Y11-D68-RSG51
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   29 Y11-D69-RSG52
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   28 Y11-D70-RSG53
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  70.5   3.5  63.3   27 Y11-D71-RSG54
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  67.6   2.5  63.3   27 Y11-D72-RSG55
