Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  CRO    1   RS @CRO  L(97-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL    3   RS @WIL   L(74-93)  0  0  1327   3   8   3   4   0   4   0   0   0   0   3   4   0   0  1  1  2   0  2  0   6   6   0 -16  36  52    9    1   2   0   0   0  A
  11  CRO    5   RS vCRO   W(94-70)  0  0   919   3  10   3  10   0   0   2   2   0   0   2   8   1   2  2  5  7   0  1  1   8   6   2  -8  20  28   12    1   1   0   1   0  A
  11  QUE    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   13   RS vWIL  W(111-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   17   RS @CRO W(105-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   19   RS @WIL W(108-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   21   RS vQUE  L(97-106)  0  0   851   2   3   2   3   0   0   2   2   0   0   0   1   2   2  1  2  3   0  1  1   6   2   2  -8  32  40    7    3   0   1   1   0  A
  11  LAT   29   RS vLAT  W(109-87)  0  1  1680   7  12   7  11   0   1   3   5   1   1   5   8   2   3  3  5  8   0  3  2  17  11   2   2  62  60   14    0   2   1   1   1  A
  11  HAR   30   RS @HAR   L(77-91)  0  1  1717   4  13   4  11   0   2   0   2   0   0   3  10   1   1  2  4  6   0  0  1   8   6   0 -21  47  68   15    1   0   0   1   0  A
  11  LAT   34   RS @LAT W(102-100)  0  1  2400  10  18  10  15   0   3   4   6   0   0   7  10   3   5  3 11 14   1  2  3  24  15   2   2 102 100   23    2   2   0   1   2  A
  11  RAY   37   RS vRAY  L(86-111)  0  1  2153  11  15  10  13   1   2   1   2   1   1   8  10   2   3  4  5  9   4  1  1  24  17   2 -18  82 100   22    6   0   1   1   0  A
  11  KEN   40   RS @KEN   L(84-92)  0  1  2400   6  15   6  11   0   4   4   6   2   2   6   8   0   3  7 10 17   3  0  3  16  16   9  -8  84  92   21    3   0   0   3   0  A
  11  WIL   45   RS vWIL   L(81-82)  0  1  1739   5  16   5  16   0   0   1   2   0   1   3  13   2   3  5  4  9   1  1  1  11   7   2   4  63  59   22    5   1   0   1   0  A
  11  QUE   47   RS @QUE   W(94-86)  0  1   895   3   8   3   7   0   1   0   0   0   0   1   4   2   3  1  2  3   1  3  0   6   2   0   9  43  34   10    2   3   0   0   0  A
  11  QUE   53   RS vQUE  L(86-101)  0  0   147   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  2  2   0  0  0   0   0   0   2   8   6    1    0   0   0   0   0  A
  11  QUE   61   RS vQUE   W(99-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   69   RS vRAY  W(106-75)  0  0  1180   3   5   3   5   0   0   2   2   0   0   3   5   0   0  1  6  7   0  2  1   8   8   4  10  48  38    6    0   1   1   1   0  A
  11  LAT   77   RS vLAT  L(91-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   78   RS @HAR  L(78-105)  0  0   712   1   4   1   4   0   0   2   4   0   0   0   1   1   3  3  1  4   0  0  2   4   2   2 -15  19  34    7    1   0   0   2   0  A
