Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  1  2381   4  12   3   8   1   4   3   4   1   1   2   3   1   5  2  2  4   1  0  2  12   4   2   4 103  99   18    4   0   0   0   2  A
  11  RAY    4   RS @RAY  L(95-114)  0  1  2289   6  11   4   9   2   2   0   0   0   0   2   2   2   7  0  4  4   1  2  0  14   4   2 -17  91 108   15    4   0   2   0   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  1  1519   3  10   2   7   1   3   0   0   0   2   0   2   2   5  2  4  6   2  2  0   7   0   0 -27  38  65   15    5   1   1   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  1  1091   5  17   4  10   1   7   0   0   1   1   3   6   1   4  1  2  3   0  0  0  11   6   4  -8  37  45   17    0   0   0   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  0  1614   6  11   6  11   0   0   0   2   0   0   2   4   4   7  2  2  4   2  0  1  12   4   2  24  72  48   15    3   0   0   1   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0   327   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  1  1   0  0  0   0   0   0   1  10   9    1    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0  1381   2   3   2   3   0   0   3   3   0   0   2   2   0   1  0  2  2   1  2  1   7   4   0   4  64  60    8    4   2   0   0   1  A
  11  BRE   29   RS @BRE  L(87-109)  0  0  2021   6  12   5   9   1   3   4   7   1   1   2   5   3   4  2  2  4   1  0  3  17   4   6  -4  78  82   19    4   0   0   0   3  A
  11  CRO   33   RS @CRO   L(76-99)  0  0  1509   2   6   2   4   0   2   0   0   0   0   2   2   0   2  0  4  4   1  0  0   4   4   0 -14  43  57    9    3   0   0   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  0  1800   6   7   5   6   1   1   1   2   0   0   2   2   3   4  1  6  7   2  0  1  14   4   0   6  75  69   12    4   0   0   0   1  A
  11  KEN   42   RS vKEN   L(75-98)  0  0  1357   6  11   6  10   0   1   0   0   1   1   1   3   5   7  2  1  3   1  0  0  12   2   2 -23  40  63   15    4   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  0  1800  10  13   7  10   3   3   0   0   0   0   4   6   3   4  1  4  5   2  0  0  23   8   0   9  81  72   17    4   0   0   0   0  A
  11  KEN   50   RS vKEN  L(93-101)  0  0  1041   4   6   4   5   0   1   1   2   1   1   3   3   1   2  1  3  4   0  0  1   9   7   2  -6  41  47    7    0   0   0   1   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  1  2400   9  17   8  10   1   7   0   2   0   0   3   4   5   6  4  2  6   2  0  1  19   6   0  -8  84  92   23    5   0   0   0   1  A
  11  KEN   56   RS @KEN  L(72-103)  0  1  1951   7  13   7   9   0   4   0   0   2   2   5   6   2   3  3  5  8   3  2  0  14  10   4 -27  57  84   18    5   0   2   0   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  1  1633   4  12   3   6   1   6   0   0   1   2   2   4   1   2  3  2  5   3  1  0   9   4   2 -11  56  67   17    5   0   1   0   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  1  1650   2   8   2   6   0   2   0   0   0   0   0   3   2   3  1  3  4   0  3  0   4   0   0  -7  42  49    8    0   0   3   0   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  1  2400   7  19   6  15   1   4   0   0   0   1   4   8   2   7  1  3  4   0  0  0  15   8   0 -14  90 104   19    0   0   0   0   0  A
  11  QUE   74   RS vQUE L(101-104)  0  1  2400  10  15   6  10   4   5   0   0   1   2   4   7   2   3  2  8 10   2  3  0  24   8   2  -3 101 104   19    4   0   3   0   0  A
  11  BRE   77   RS @BRE  W(100-91)  0  1  2400   7  19   6  15   1   4   6   7   0   0   1   3   5  12  1  4  5   1  1  3  21   2   0   9 100  91   24    2   0   1   0   3  A
