Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  0   209   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -3   6   9    0    0   0   0   0   0  A
  11  HAR   16   RS vHAR  W(101-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   27   RS @WIL  L(79-113)  0  0   949   1   6   0   3   1   3   9  10   0   0   0   2   0   1  1  2  3   0  1  4  12   4   5  -3  35  38   10    0   1   0   2   2  A
  11  WIL   32   RS vWIL  L(91-108)  0  0   340   1   2   0   0   1   2   0   0   0   0   0   0   0   0  0  0  0   0  1  0   3   0   0   1  13  12    2    0   1   0   0   0  A
  11  QUE   39   RS @QUE   L(88-97)  0  0   874   3   4   2   2   1   2   0   0   0   0   2   2   0   0  1  2  3   0  2  0   7   4   5   2  32  30    6    2   2   0   0   0  A
  11  BRE   40   RS vBRE   W(92-84)  0  0    33   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   1   4   3    0    0   0   0   0   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  0  1800   5  12   4   9   1   3   0   0   1   1   4   7   0   2  5  6 11   0  0  0  11   8   2  34  84  50   12    0   0   0   0   0  A
  11  HAR   48   RS vHAR  W(114-95)  0  1  1996   8  12   5   7   3   5   4   4   0   1   3   4   2   3  2  6  8   1  1  2  23   8   0  25  97  72   15    1   1   0   1   1  A
  11  LAT   50   RS @LAT  W(101-93)  0  1  2400   9  16   6  10   3   6   3   4   0   0   3   6   3   4  2  5  7   0  1  2  24   9   2   8 101  93   19    1   1   0   2   0  A
  11  LAT   56   RS vLAT  W(103-72)  0  1  1951   7  12   5  10   2   2   2   2   1   1   4   7   1   3  4  5  9   0  0  1  18  10   2  27  84  57   13    0   0   0   1   0  A
  11  HAR   62   RS @HAR   L(77-90)  0  1  1733   2  10   1   6   1   4   0   0   0   1   0   4   1   2  3  5  8   0  1  0   5   0   0  -6  55  61   12    2   1   0   0   0  A
  11  LAT   64   RS vLAT   W(75-67)  0  1  2041   3  13   1   7   2   6   2   2   0   0   1   3   0   4  2  3  5   0  2  1  10   2   2   7  59  52   15    1   2   0   0   1  A
  11  CRO   65   RS @CRO  W(112-96)  0  1  1721   3   6   3   3   0   3   0   0   0   0   2   2   1   1  2  2  4   0  0  0   6   4   0  30  95  65    6    0   0   0   0   0  A
  11  QUE   72   RS vQUE W(108-105)  0  1  2125   4   9   2   4   2   5   4   4   0   0   2   3   0   1  2  5  7   0  2  2  14   6   0   7 102  95   12    1   2   0   1   1  A
  11  WIL   75   RS @WIL   W(87-81)  0  1  1200   3  10   2   4   1   6   3   3   0   0   2   3   0   1  1  1  2   0  0  1  10   4   0   7  44  37   12    1   0   0   0   1  A
