Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  1  1374   7  10   7  10   0   0   1   2   1   1   6   8   1   2  1  5  6   1  4  1  15  13   4   1  60  59   12    1   2   2   1   0  S
  11  RAY    4   RS @RAY  L(95-114)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR    6   RS @HAR   L(65-96)  0  1  1800   7  13   6  12   1   1   0   0   0   1   4  10   2   2  2  3  5   1  2  0  15   8   0 -29  48  77   15    2   2   0   0   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  1  2400   5  12   5  11   0   1   0   0   1   1   4   7   1   4  1 12 13   0  2  0  10   8   2  -4  86  90   12    0   2   0   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  1  2214   9  10   9  10   0   0   3   4   0   0   8   8   1   2  1 11 12   1  1  2  21  19   0  20  93  73   13    1   1   0   2   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  1  2400   6  15   6  14   0   1   1   2   1   1   5   8   1   6  4  9 13   1  1  1  13  10   2   3  91  88   18    2   0   1   0   1  A
  11  QUE   26   RS vQUE  W(105-96)  0  1  2043   7  12   7  12   0   0   2   2   0   0   5   9   2   3  4  5  9   1  2  1  16  12   2   8  86  78   16    3   2   0   1   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  1  1680   2   7   2   6   0   1   1   2   0   0   1   4   1   2  4  6 10   0  1  1   5   3   0  -2  60  62    9    1   0   1   1   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  1  1995   4   7   4   6   0   1   0   0   0   0   4   5   0   1  2  5  7   0  1  0   8   8   2 -22  62  84    8    1   1   0   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  1  1800   8  18   8  16   0   2   0   0   2   2   6  12   2   4  3  3  6   0  3  0  16  12   4  -5  72  77   18    0   1   2   0   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  1  2156   8  14   8  14   0   0   0   0   0   0   7  10   1   4  5 10 15   0  2  0  16  14   2 -21  67  88   14    0   1   1   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  1  1797  11  14  10  12   1   2   2   6   5   6   6   8   4   4 10  7 17   1  4  3  25  13  15  18  79  61   19    2   4   0   2   1  A
  11  KEN   50   RS vKEN  L(93-101)  0  1  2400   7  10   7  10   0   0   0   0   1   1   5   6   2   4  2  5  7   0  3  0  14  10   4  -8  93 101   11    1   1   2   0   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  1  2400   6  15   6  11   0   4   2   2   1   1   5   7   1   4  5  9 14   0  3  1  14  12   2  -8  84  92   16    0   2   1   1   0  A
  11  KEN   56   RS @KEN  L(72-103)  0  1  1155   2   3   2   3   0   0   1   2   0   0   2   3   0   0  2  7  9   0  2  1   5   5   0 -10  37  47    4    0   1   1   1   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  1  2400  10  18  10  16   0   2   4   4   3   3  10  13   0   3  7  5 12   2  3  2  24  24  10  -7  83  90   24    4   3   0   2   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  1  2314   4   8   4   7   0   1   5   6   0   0   4   7   0   0  5  9 14   0  2  3  13  13   3  -8  65  73   11    0   1   1   3   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  1   691   2   4   2   3   0   1   0   0   0   0   1   2   1   1  1  2  3   1  3  0   4   2   0  -8  22  30    5    1   1   2   0   0  A
  11  QUE   74   RS vQUE L(101-104)  0  1  1379   7   9   7   9   0   0   1   2   1   1   7   8   0   1  2 10 12   0  3  1  15  15   2   4  56  52   10    0   3   0   1   0  A
  11  BRE   77   RS @BRE  W(100-91)  0  1  2400   6  13   6  11   0   2   3   4   1   1   6   8   0   3  3 13 16   0  3  2  15  14   4   9 100  91   15    0   2   1   1   1  A
