Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE    5   RS @BRE   L(70-94)  0  0   600   0   4   0   2   0   2   0   0   0   0   0   0   0   2  0  4  4   3  1  0   0   0   0   4  18  14   11    7   0   1   0   0  A
  11  QUE    9   RS vQUE   W(82-81)  0  0   460   3   5   1   1   2   4   0   0   0   0   0   0   1   1  0  0  0   1  0  0   8   0   0   3  18  15   10    5   0   0   0   0  A
  11  WIL   11   RS @WIL  L(95-110)  0  0  1142   5   9   1   1   4   8   1   2   0   0   0   0   1   1  0  1  1   4  1  1  15   0   0  -5  49  54   14    4   1   0   0   1  A
  11  BRE   17   RS vBRE L(100-105)  0  0   320   1   3   0   2   1   1   0   0   0   0   0   0   0   2  0  0  0   2  0  0   3   0   0  -1  15  16    5    2   0   0   0   0  A
  11  QUE   23   RS @QUE W(120-119)  1  0  1853   6  15   4  10   2   5   2   2   0   1   0   4   4   6  1  4  5   9  2  1  16   2   2   4  93  89   28   12   1   1   1   0  A
  11  HAR   25   RS vHAR  L(92-101)  0  1   931   2   8   0   4   2   4   0   0   0   1   0   1   0   3  1  4  5   0  3  0   6   0   0  -7  35  42    9    1   2   1   0   0  A
  11  LAT   33   RS vLAT   W(99-76)  0  1  1800   5  13   4   9   1   4   7   9   1   1   1   2   3   7  1  7  8   5  2  3  18   2   2  23  75  52   25    9   1   1   0   3  A
  11  WIL   41   RS vWIL   W(77-74)  0  1  1286   1   6   0   4   1   2   2   2   0   0   0   2   0   2  2  1  3   2  3  1   5   2   5  -5  42  47   10    3   1   2   1   0  A
  11  WIL   43   RS @WIL W(111-101)  0  1  2400   9  16   5  10   4   6   3   5   0   0   1   1   4   9  0  6  6  11  1  2  25   2   0  10 111 101   35   17   0   1   0   2  A
  11  WIL   49   RS vWIL   W(85-84)  0  1  1809   0   8   0   5   0   3   6   6   0   0   0   2   0   3  0  4  4   3  2  2   6   0   0  -3  56  59   19    9   2   0   0   2  A
  11  QUE   55   RS @QUE   L(89-95)  0  1  2322   7  11   5   8   2   3   3   5   0   0   1   2   4   6  0  7  7   2  4  2  19   4   3 -10  83  93   24   11   2   2   1   1  A
  11  QUE   57   RS vQUE  L(76-110)  0  1   984   2   7   0   2   2   5   0   0   0   0   0   0   0   2  1  2  3   1  0  0   6   0   0 -30  21  51   11    4   0   0   0   0  A
  11  WIL   59   RS @WIL   W(99-88)  0  0  1200   3   6   3   4   0   2   2   3   0   0   0   1   3   3  0  0  0   2  0  1   8   0   2   7  48  41   14    7   0   0   0   1  A
  11  KEN   65   RS vKEN  L(96-112)  0  1   303   1   3   1   3   0   0   0   0   0   0   0   0   1   3  0  0  0   0  3  0   2   0   0  -3  10  13    4    1   0   3   0   0  A
  11  RAY   68   RS @RAY  L(86-106)  0  1  2078   6  14   2   6   4   8   6   7   0   0   0   1   2   5  0  3  3   6  3  3  22   0   6 -17  80  97   30   13   2   1   0   3  A
  11  HAR   70   RS @HAR   L(73-97)  0  1  1394   2  15   1  11   1   4   0   0   0   1   0   5   1   6  3  6  9   3  2  0   5   0   0 -25  32  57   24    9   2   0   0   0  A
  11  RAY   73   RS vRAY  L(87-102)  0  1  1567   7  16   6  12   1   4   0   0   0   0   1   1   5  11  1  5  6   3  0  0  15   2   0 -13  58  71   25    9   0   0   0   0  A
