Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  0   263   1   3   1   2   0   1   0   0   0   0   1   1   0   1  0  1  1   0  0  0   2   2   0  -2   8  10    3    0   0   0   0   0  A
  11  HAR   16   RS vHAR  W(101-85)  0  0  1260   4   8   4   8   0   0   0   0   0   0   3   5   1   3  1  4  5   3  2  0   8   6   0  17  61  44   11    3   2   0   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  1  2194  11  21  11  19   0   2   0   2   0   1   9  12   2   7  3  5  8   0  1  1  22  18   4  -3  88  91   23    1   1   0   1   0  A
  11  RAY   24   RS vRAY W(118-114)  1  1  2700   6   9   6   9   0   0   4   6   0   0   5   7   1   2  2 12 14   0  0  3  16  14   0   4 118 114   12    0   0   0   3   0  A
  11  WIL   27   RS @WIL  L(79-113)  0  1   898   2   3   2   2   0   1   0   2   0   0   2   2   0   0  0  3  3   0  3  1   4   4   0  -9  33  42    5    1   2   1   1   0  A
  11  WIL   32   RS vWIL  L(91-108)  0  1   860   2   9   2   9   0   0   0   0   0   1   2   6   0   3  1  4  5   0  1  0   4   4   0 -11  29  40    9    0   1   0   0   0  A
  11  QUE   39   RS @QUE   L(88-97)  0  0  1106   3   9   3   9   0   0   0   0   0   0   3   7   0   2  2  5  7   0  2  0   6   6   0   4  45  41   10    1   2   0   0   0  A
  11  BRE   40   RS vBRE   W(92-84)  0  0   204   1   1   1   1   0   0   1   2   0   0   1   1   0   0  0  1  1   0  2  1   3   3   0   0   5   5    2    0   2   0   1   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  1  2156   6  14   6  14   0   0   1   4   1   2   5   9   1   5  5  5 10   0  0  2  13  11   5  21  88  67   16    0   0   0   2   0  A
  11  HAR   48   RS vHAR  W(114-95)  0  0   404   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0  -6  17  23    1    0   0   0   0   0  A
  11  LAT   50   RS @LAT  W(101-93)  0  0   600   1   2   1   2   0   0   0   0   0   0   0   0   1   2  0  1  1   1  0  0   2   0   0  -2  26  28    3    1   0   0   0   0  A
  11  LAT   56   RS vLAT  W(103-72)  0  0   449   0   3   0   3   0   0   0   0   0   0   0   0   0   3  0  0  0   0  0  0   0   0   0   4  19  15    3    0   0   0   0   0  A
  11  HAR   62   RS @HAR   L(77-90)  0  0   376   1   2   1   2   0   0   0   0   0   0   1   2   0   0  0  2  2   0  0  0   2   2   0  -1  12  13    2    0   0   0   0   0  A
  11  LAT   64   RS vLAT   W(75-67)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   65   RS @CRO  W(112-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   72   RS vQUE W(108-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   75   RS @WIL   W(87-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
