Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    7   RS vBRE  W(102-96)  0  0    36   0   0   0   0   0   0   2   2   0   0   0   0   0   0  0  2  2   0  0  1   2   0   0   0   6   6    1    0   0   0   0   1  A
  11  CRO    9   RS @CRO   L(81-82)  0  0  1287   3   7   3   6   0   1   0   0   0   0   1   3   2   3  0  7  7   1  1  0   6   2   2  -1  44  45    8    1   1   0   0   0  A
  11  WIL   15   RS vWIL  L(89-101)  0  0   179   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   3  10   7    0    0   0   0   0   0  A
  11  BRE   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   26   RS @LAT  L(96-105)  0  0   987   3   6   3   5   0   1   2   2   0   0   1   2   2   3  0  0  0   2  1  1   8   4   2 -12  37  49   10    3   1   0   1   0  A
  11  RAY   28   RS @RAY  L(97-119)  0  0   306   2   5   1   3   1   2   0   0   1   1   1   2   0   1  2  0  2   0  1  0   5   2   2  -1  12  13    6    1   0   1   0   0  A
  11  HAR   31   RS vHAR   L(90-96)  0  0   130   0   2   0   2   0   0   0   0   0   0   0   0   0   2  0  0  0   0  0  0   0   0   0   6   6   0    2    0   0   0   0   0  A
  11  HAR   38   RS @HAR  L(83-105)  0  0  1200   1   3   1   2   0   1   0   0   0   0   0   1   1   1  3  3  6   2  1  0   2   0   0  -6  40  46    8    5   0   1   0   0  A
  11  KEN   39   RS vKEN   W(97-88)  0  0   466   1   1   1   1   0   0   0   0   0   0   0   0   1   1  1  0  1   0  1  0   2   0   2   0  13  13    2    1   1   0   0   0  A
  11  BRE   47   RS vBRE   L(86-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   51   RS @WIL  W(107-89)  0  0   392   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   1  0  0   0   0   0  -7  12  19    2    1   0   0   0   0  A
  11  BRE   53   RS @BRE  W(101-86)  0  0   147   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -2   6   8    0    0   0   0   0   0  A
  11  CRO   55   RS vCRO   W(95-89)  0  0    30   0   1   0   1   0   0   0   0   0   0   0   1   0   0  0  0  0   0  0  0   0   0   0  -1   2   3    1    0   0   0   0   0  A
  11  CRO   57   RS @CRO  W(110-76)  0  0   600   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  0  1   0  1  0   0   0   0   1  23  22    2    1   0   1   0   0  A
  11  BRE   61   RS @BRE   L(83-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   63   RS vWIL   W(99-81)  0  0   600   3   4   3   4   0   0   0   0   0   0   0   0   3   4  0  1  1   0  1  0   6   0   0   3  27  24    4    0   0   1   0   0  A
  11  HAR   71   RS vHAR  W(105-98)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   72   RS @KEN L(105-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   74   RS @LAT W(104-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   76   RS @RAY W(107-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   79   RS vRAY  W(105-84)  0  0   291   1   1   1   1   0   0   0   0   0   0   0   0   1   1  1  0  1   0  0  0   2   0   0  -1  11  12    1    0   0   0   0   0  A
