Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    2   RS @LAT  L(99-107)  0  0   581   0   3   0   0   0   3   0   0   0   0   0   0   0   0  0  0  0   2  4  0   0   0   0   1  22  21   10    7   1   3   0   0  S
  11  LAT    4   RS vLAT  W(114-95)  0  0  1330  13  22   4   6   9  16   7   7   0   0   0   1   4   5  1  3  4   2  0  3  42   0   9  32  81  49   29    4   0   0   0   3  A
  11  KEN    8   RS @KEN   W(99-79)  0  0  1084   3   9   0   4   3   5   0   0   0   0   0   0   0   4  1  3  4   3  1  0   9   0   0   3  43  40   19   10   0   1   0   0  A
  11  LAT   12   RS vLAT  L(77-107)  0  0   357   1   4   1   3   0   1   3   3   0   0   0   1   1   2  0  0  0   3  0  1   5   0   0 -12  13  25    9    4   0   0   0   1  A
  11  HAR   14   RS @HAR   W(91-78)  0  0   754   5   8   3   5   2   3   0   0   0   0   0   0   3   5  2  1  3   3  0  0  12   0   0  14  36  22   13    5   0   0   0   0  A
  11  HAR   20   RS vHAR W(112-105)  1  0   499   1   9   0   6   1   3   0   0   0   0   0   2   0   4  0  1  1   2  0  0   3   0   0   3  19  16   12    3   0   0   0   0  A
  11  KEN   24   RS @KEN L(114-118)  1  0  1820   8  20   5  12   3   8   5   6   1   1   4   7   1   5  2  1  3   5  2  2  24   8   2   6  79  73   29    7   0   2   0   2  A
  11  QUE   28   RS vQUE  W(119-97)  0  0   801   6   6   4   4   2   2   0   0   0   0   2   2   2   2  0  1  1   0  0  0  14   4   2   8  44  36    8    2   0   0   0   0  A
  11  WIL   35   RS @WIL   L(70-95)  0  0  1297   6  13   1   6   5   7   3   3   0   0   0   0   1   6  0  5  5   1  1  1  20   0   0 -11  36  47   21    7   1   0   0   1  A
  11  WIL   36   RS vWIL  W(111-94)  0  0  1200   6  13   0   0   6  13   5   8   0   0   0   0   0   0  0  1  1   2  2  3  23   0   3  12  60  48   22    6   0   2   0   3  A
  11  BRE   37   RS @BRE  W(111-86)  0  0   600   1   2   1   1   0   1   0   0   1   1   1   1   0   0  1  0  1   4  0  0   2   2   2  11  27  16    7    5   0   0   0   0  A
  11  HAR   44   RS vHAR  W(109-94)  0  0   477   3   7   3   5   0   2   0   0   0   0   0   1   3   4  1  0  1   1  2  0   6   0   0 -12  15  27    9    2   0   2   0   0  A
  11  LAT   52   RS vLAT   W(92-84)  0  0  1069   2   7   1   4   1   3   4   6   1   1   1   1   0   3  2  1  3   5  0  2   9   2   2  13  46  33   17    8   0   0   0   2  A
  11  HAR   54   RS @HAR  L(82-100)  0  0   892   2   9   0   2   2   7   1   2   0   0   0   0   0   2  0  0  0   1  1  1   7   1   0 -12  30  42   15    5   0   1   1   0  A
  11  HAR   60   RS vHAR  W(102-95)  0  0  1431   8  17   2   7   6  10   9  14   0   1   0   2   2   5  4  2  6   3  1  6  31   0   6   5  63  58   33   10   0   1   0   6  A
  11  CRO   68   RS vCRO  W(106-86)  0  0   287   0   4   0   3   0   1   0   0   0   0   0   1   0   2  0  0  0   1  1  0   0   0   0   0   9   9    5    1   0   1   0   0  A
  11  BRE   69   RS @BRE  L(75-106)  0  0  1127   3   9   1   3   2   6   6   6   0   0   1   1   0   2  0  0  0   2  0  2  14   2   5 -13  44  57   14    3   0   0   0   2  A
  11  CRO   73   RS @CRO  W(102-87)  0  0   610   3   6   1   2   2   4   0   0   0   0   0   0   1   2  1  0  1   2  1  0   8   0   0  -6  19  25   10    4   0   1   0   0  A
  11  QUE   76   RS vQUE L(100-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   79   RS @QUE  L(84-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
