Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  0   633   2   8   1   4   1   4   0   0   1   1   1   2   0   2  2  0  2   1  0  0   5   2   2 -10  18  28   11    3   0   0   0   0  A
  16   RS vHAR  W(101-85)  0  0   322   0   2   0   1   0   1   0   0   0   0   0   0   0   1  0  1  1   2  0  0   0   0   0  -5   9  14    7    5   0   0   0   0  A
  22   RS @HAR   L(92-99)  0  0   770   2   8   1   4   1   4   0   0   0   1   0   3   1   1  1  4  5   1  0  0   5   0   0  -6  23  29   15    7   0   0   0   0  A
  24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  27   RS @WIL  L(79-113)  0  0   949   2   9   0   2   2   7   0   0   0   0   0   1   0   1  0  0  0   1  2  0   6   0   3  -6  35  41   16    7   2   0   0   0  A
  32   RS vWIL  L(91-108)  0  0  1459   5  13   3   6   2   7   3   3   0   0   1   1   2   5  1  1  2   5  0  1  15   2   0  -3  63  66   26   12   0   0   0   1  A
  39   RS @QUE   L(88-97)  0  0   658   2   7   0   1   2   6   2   2   0   0   0   1   0   0  0  0  0   3  0  1   8   0   3  10  37  27   12    4   0   0   0   1  A
  40   RS vBRE   W(92-84)  0  0   235   0   2   0   1   0   1   4   4   0   0   0   1   0   0  0  1  1   1  1  2   4   0   0  -9   6  15    9    5   1   0   0   2  A
  42   RS @LAT   W(98-75)  0  0   244   1   4   0   0   1   4   2   3   0   0   0   0   0   0  0  0  0   2  0  1   5   0   0   2  10   8    7    2   0   0   0   1  A
  48   RS vHAR  W(114-95)  0  0  1194   5  11   2   4   3   7   1   3   1   1   1   2   1   2  2  1  3   9  0  1  14   2   3  20  64  44   25   13   0   0   0   1  A
  50   RS @LAT  W(101-93)  0  0   600   0   4   0   2   0   2   0   0   0   0   0   1   0   1  0  1  1   5  0  0   0   0   0  -2  26  28   13    9   0   0   0   0  A
  56   RS vLAT  W(103-72)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  62   RS @HAR   L(77-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  64   RS vLAT   W(75-67)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  65   RS @CRO  W(112-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  72   RS vQUE W(108-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  75   RS @WIL   W(87-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
