Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   6   RS vLAT   W(96-65)  0  1  1800   6   7   6   7   0   0   1   2   0   0   6   7   0   0  2 11 13   0  2  1  13  13   0  29  77  48    8    0   2   0   1   0  A
  10   RS @LAT   W(90-86)  0  1  2400   7  11   7  11   0   0   5   8   1   1   5   7   2   4  4  8 12   0  0  4  19  15   2   4  90  86   16    1   0   0   4   0  A
  14   RS vRAY   L(78-91)  0  1  2400   8  10   8  10   0   0   1   2   0   0   5   6   3   4  2 10 12   0  0  1  17  11   2 -13  78  91   11    0   0   0   1   0  A
  16   RS @KEN  L(85-101)  0  1  1757   2   7   2   7   0   0   4   6   0   1   2   6   0   1  3  7 10   0  0  3   8   8   1 -19  61  80   10    0   0   0   3   0  A
  18   RS @LAT   L(88-91)  0  1  2400   7  16   7  13   0   3   4   4   0   0   7  11   0   2  4  9 13   1  2  2  18  18   0  -3  88  91   21    3   2   0   2   0  A
  20   RS @RAY L(105-112)  1  1  2700   9  11   9  10   0   1   0   0   2   2   9  10   0   0  3 13 16   1  0  0  18  18   4  -7 105 112   13    2   0   0   0   0  A
  22   RS vKEN   W(99-92)  0  1  2400  12  21  12  20   0   1   6   8   0   0   9  17   3   3  4  9 13   0  0  4  30  24   6   7  99  92   25    0   0   0   4   0  A
  25   RS @CRO  W(101-92)  0  1  2400   8  14   8  14   0   0   5   6   1   1   7  11   1   3  2  7  9   0  0  3  21  19   3   9 101  92   19    2   0   0   3   0  A
  30   RS vBRE   W(91-77)  0  1  2162   7  13   7  13   0   0   1   2   1   1   7   9   0   4  4 11 15   0  1  1  15  15   4  18  82  64   14    0   1   0   1   0  A
  31   RS @QUE   W(96-90)  0  1  2400  11  18  11  18   0   0   2   6   1   1  11  16   0   2  3  8 11   1  1  3  24  24   6   6  96  90   22    1   0   1   3   0  A
  38   RS vQUE  W(105-83)  0  1  1997  11  17  11  16   0   1   0   0   0   0   9  14   2   2  0  3  3   1  1  0  22  18   2  22  91  69   18    1   0   1   0   0  A
  44   RS @RAY  L(94-109)  0  1  2158   6   9   6   9   0   0   2   6   0   0   5   8   1   1  0  5  5   0  0  3  14  12   0 -22  81 103   12    0   0   0   3   0  A
  46   RS vLAT  L(92-100)  0  1  2400  10  16  10  14   0   2   2   8   3   3   9  12   1   2  5  9 14   0  1  4  22  20   7  -8  92 100   21    1   1   0   4   0  A
  48   RS @KEN  L(95-114)  0  1  1996   5   7   5   7   0   0   0   0   0   0   4   5   1   2  3  4  7   0  0  0  10   8   0 -25  72  97    7    0   0   0   0   0  A
  54   RS vRAY  W(100-82)  0  1  2269  10  11  10  11   0   0   3   4   0   0   9   9   1   2  1  6  7   0  1  2  23  21   4  20  98  78   14    1   1   0   2   0  A
  58   RS @LAT   W(90-83)  0  1  2366   7  13   7  13   0   0   3   6   1   1   7  11   0   2  4  5  9   0  1  3  17  17   2   7  87  80   16    0   1   0   3   0  A
  60   RS @RAY  L(95-102)  0  1  2400   4  11   4  10   0   1   3   3   0   0   4   9   0   1  2 15 17   0  0  1  11   8   0  -7  95 102   12    0   0   0   0   1  A
  62   RS vKEN   W(90-77)  0  1  2400   7  10   7  10   0   0   4   4   0   0   4   6   3   4  3  3  6   2  2  2  18  12   2  13  90  77   17    5   2   0   2   0  A
  67   RS @WIL  W(102-87)  0  1  2400   8  13   8  13   0   0   3   6   1   3   6   9   2   4  8  8 16   1  1  3  19  15  10  15 102  87   17    1   1   0   2   1  A
  70   RS vCRO   W(97-73)  0  1  1800   5   5   5   5   0   0   3   8   1   1   4   4   1   1  2  8 10   1  0  4  13  11   2  33  77  44   10    1   0   0   4   0  A
  71   RS @QUE  L(98-105)  1  1  2215   7  13   7  12   0   1   2   2   1   1   7  10   0   2  4  4  8   0  3  1  16  16   6  -8  80  88   14    0   2   1   1   0  A
  78   RS vBRE  W(105-78)  0  1  2168   7  10   7  10   0   0   1   4   1   1   7   9   0   1  2  9 11   1  1  2  15  15   6  20  94  74   13    1   1   0   2   0  A
