Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   3   RS vBRE   W(93-74)  0  1   601   3   4   3   3   0   1   2   2   0   0   2   2   1   1  0  0  0   0  3  1   8   6   0   0  20  20    5    0   2   1   1   0  A
  11   RS vCRO  W(110-95)  0  0  1800   8  10   6   8   2   2   3   3   0   0   2   2   4   6  1  2  3   1  0  1  21   4   0  18  88  70   12    1   0   0   0   1  A
  13   RS @BRE  L(99-111)  0  0  1128   1   5   1   5   0   0   2   3   0   0   0   3   1   2  1  3  4   0  0  1   4   0   0  -3  47  50    6    0   0   0   0   1  A
  15   RS @QUE  W(101-89)  0  1  1674   4  12   3   6   1   6   3   5   0   1   1   4   2   2  3  7 10   1  1  2  12   2   2   6  68  62   15    1   1   0   0   2  A
  19   RS vBRE L(107-108)  0  1  2400   8  17   5  10   3   7   4   6   1   1   5   8   0   2  2  6  8   1  2  2  23  10   4  -1 107 108   21    2   1   1   0   2  A
  27   RS vKEN  W(113-79)  0  1  1451   2   4   1   2   1   2   2   3   0   0   0   1   1   1  1  7  8   0  0  1   7   0   0  31  75  44    5    0   0   0   0   1  A
  32   RS @KEN  W(108-91)  0  1  1800   3   9   1   3   2   6   0   0   0   0   1   1   0   2  1 12 13   0  0  0   8   2   3  16  83  67    9    0   0   0   0   0  A
  35   RS vRAY   W(95-70)  0  1  1800   5   7   4   5   1   2   0   0   0   0   2   3   2   2  2  8 10   0  1  0  11   4   0  27  77  50    7    0   1   0   0   0  A
  36   RS @RAY  L(94-111)  0  1  1800   3   8   2   4   1   4   0   0   0   0   1   2   1   2  1  3  4   0  0  0   7   2   2  -9  71  80    9    1   0   0   0   0  A
  41   RS @CRO   L(74-77)  0  1  1244   1   5   1   2   0   3   1   2   0   1   0   1   1   1  1  3  4   0  3  1   3   0   0  -6  46  52    6    0   3   0   0   1  A
  43   RS vCRO L(101-111)  0  1  2400   8  14   8   9   0   5   0   0   1   1   6   6   2   3  1  6  7   0  1  0  16  12   2 -10 101 111   16    2   1   0   0   0  A
  45   RS @BRE   W(82-81)  0  1  1800   5   8   4   5   1   3   0   0   1   1   3   4   1   1  1 11 12   1  0  0  11   6   2   2  64  62    9    1   0   0   0   0  A
  49   RS @CRO   L(84-85)  0  1  1559   3   5   1   3   2   2   0   0   0   0   0   1   1   2  2  5  7   0  3  0   8   0   0  -1  53  54    6    1   1   2   0   0  A
  51   RS vQUE  L(89-107)  0  1  1225   2   4   1   1   1   3   0   0   0   0   0   0   1   1  0  5  5   0  2  0   5   0   3 -16  46  62    4    0   2   0   0   0  A
  59   RS vCRO   L(88-99)  0  1   683   0   3   0   2   0   1   0   0   0   0   0   0   0   2  1  0  1   0  1  0   0   0   0  -7  20  27    3    0   1   0   0   0  A
  63   RS @QUE   L(81-99)  0  1  1550   4  11   3   6   1   5   5   7   0   0   2   4   1   2  2  6  8   0  2  3  14   5   4  -9  50  59   14    0   1   1   1   2  A
  66   RS @LAT  W(104-90)  0  1  2400   5  11   2   6   3   5   5   5   0   0   1   3   1   3  2  6  8   0  1  2  18   4   5  14 104  90   13    0   1   0   1   1  A
  67   RS vHAR  L(87-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  75   RS vKEN   L(81-87)  0  1  1800   2  12   2   8   0   4   1   2   1   3   1   4   1   4  4  5  9   2  2  1   5   2   2  -4  58  62   15    2   2   0   0   1  A
