Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   6   RS vLAT   W(96-65)  0  0   263   2   4   2   3   0   1   0   0   0   0   0   0   2   3  2  1  3   0  0  0   4   0   0   4   8   4    5    1   0   0   0   0  A
  10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  14   RS vRAY   L(78-91)  0  0  1198   2   4   1   2   1   2   3   4   0   0   1   2   0   0  0  1  1   4  2  2   8   5   0 -10  40  50   19   13   1   1   2   0  A
  16   RS @KEN  L(85-101)  0  0   600   5   7   4   5   1   2   0   0   0   0   1   2   3   3  1  0  1   0  0  0  11   2   2 -10  16  26   15    8   0   0   0   0  A
  18   RS @LAT   L(88-91)  0  0   624   3   6   2   3   1   3   0   0   0   0   1   1   1   2  0  1  1   5  0  0   7   2   0   2  30  28   16   10   0   0   0   0  A
  20   RS @RAY L(105-112)  1  0   725   0   5   0   4   0   1   0   0   0   0   0   0   0   4  1  0  1   3  0  0   0   0   0  -4  25  29   14    9   0   0   0   0  A
  22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  25   RS @CRO  W(101-92)  0  0   326   0   1   0   1   0   0   2   2   0   0   0   0   0   1  0  0  0   2  0  1   2   0   0  -5  12  17    5    3   0   0   0   1  A
  30   RS vBRE   W(91-77)  0  0   238   1   3   1   3   0   0   0   0   0   0   0   1   1   2  1  0  1   0  0  0   2   0   0  -4   9  13    4    1   0   0   0   0  A
  31   RS @QUE   W(96-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  38   RS vQUE  W(105-83)  0  0   403   1   2   1   1   0   1   0   0   0   0   0   0   1   1  0  1  1   1  0  0   2   0   0   0  14  14    7    5   0   0   0   0  A
  44   RS @RAY  L(94-109)  0  0   242   0   1   0   1   0   0   2   2   0   0   0   0   0   1  0  0  0   2  0  1   2   0   0   7  13   6    4    2   0   0   0   1  A
  46   RS vLAT  L(92-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  48   RS @KEN  L(95-114)  0  0   404   2   4   2   4   0   0   0   0   0   0   0   1   2   3  0  0  0   4  0  0   4   0   0   6  23  17    8    4   0   0   0   0  A
  54   RS vRAY  W(100-82)  0  0   131   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -2   2   4    0    0   0   0   0   0  A
  58   RS @LAT   W(90-83)  0  0    34   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   3   3    0    0   0   0   0   0  A
  60   RS @RAY  L(95-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  62   RS vKEN   W(90-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  67   RS @WIL  W(102-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  70   RS vCRO   W(97-73)  0  0   872   4   7   4   5   0   2   2   2   0   0   2   2   2   3  0  2  2   2  0  1  10   4   4  -2  30  32   15    7   0   0   0   1  A
  71   RS @QUE  L(98-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  78   RS vBRE  W(105-78)  0  0   232   2   5   2   5   0   0   1   2   0   0   1   1   1   4  1  0  1   1  0  1   5   3   2   7  11   4    8    2   0   0   1   0  A
