Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   6   RS vLAT   W(96-65)  0  0   628   1   3   1   3   0   0   2   2   0   0   0   0   1   3  0  2  2   1  2  1   4   0   0   0  20  20    8    4   1   1   0   1  A
  10   RS @LAT   W(90-86)  0  0    76   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  0  0   0  0  0   2   0   0  -1   4   5    1    0   0   0   0   0  A
  14   RS vRAY   L(78-91)  0  0   321   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  1  1   4  1  0   0   0   0   3  13  10    8    7   0   1   0   0  A
  16   RS @KEN  L(85-101)  0  0   600   0   2   0   1   0   1   0   0   0   0   0   0   0   1  0  1  1   7  0  0   0   0   0  -1  25  26   13   11   0   0   0   0  A
  18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  22   RS vKEN   W(99-92)  0  0  1234   3   7   2   6   1   1   0   0   0   0   0   1   2   5  0  1  1   7  1  0   7   0   2   4  52  48   22   15   1   0   0   0  A
  25   RS @CRO  W(101-92)  0  1  1466   3   9   2   5   1   4   0   2   0   0   1   1   1   4  1  2  3   9  3  1   7   2   0   7  65  58   31   21   1   2   0   1  A
  30   RS vBRE   W(91-77)  0  1  2162   5   9   5   8   0   1   2   2   0   0   0   1   5   7  0  2  2  10  1  1  12   0   2  18  82  64   33   23   0   1   0   1  A
  31   RS @QUE   W(96-90)  0  1  1575   2   6   2   4   0   2   0   0   0   0   1   1   1   3  1  0  1   7  0  0   4   2   2  -1  61  62   21   15   0   0   0   0  A
  38   RS vQUE  W(105-83)  0  1  1997   5   6   5   6   0   0   0   0   1   1   1   1   4   5  2  7  9  14  1  0  10   2   4  22  91  69   29   23   1   0   0   0  A
  44   RS @RAY  L(94-109)  0  1  1800   2   8   2   5   0   3   0   0   0   0   0   0   2   5  0  3  3   8  1  0   4   0   0 -17  70  87   21   13   1   0   0   0  A
  46   RS vLAT  L(92-100)  0  1  1596   1   6   1   4   0   2   0   0   0   0   0   0   1   4  0  1  1   7  2  0   2   0   0 -11  53  64   18   12   0   2   0   0  A
  48   RS @KEN  L(95-114)  0  1   713   1   7   0   5   1   2   0   0   0   0   0   1   0   4  1  1  2   4  3  0   3   0   0  -9  18  27   12    5   0   3   0   0  A
  54   RS vRAY  W(100-82)  0  1  2269   3   8   2   5   1   3   0   0   0   0   0   0   2   5  1  2  3  12  0  0   7   0   2  20  98  78   35   27   0   0   0   0  A
  58   RS @LAT   W(90-83)  0  1  2400   4  14   4  10   0   4   5   6   0   0   0   1   4   9  1  4  5   8  2  3  13   0   0   7  90  83   37   20   0   2   0   3  A
  60   RS @RAY  L(95-102)  0  1  1615   3  10   3   8   0   2   0   0   0   0   0   1   3   7  0  3  3   7  2  0   6   0   2  -3  58  61   26   16   0   2   0   0  A
  62   RS vKEN   W(90-77)  0  1  2400   4   8   3   5   1   3   0   0   0   0   0   0   3   5  0  4  4   7  1  0   9   0   0  13  90  77   30   22   0   1   0   0  A
  67   RS @WIL  W(102-87)  0  1  1800   2   9   2   5   0   4   1   2   0   0   1   2   1   3  1  5  6   9  2  1   5   2   0  12  76  64   27   17   1   1   0   1  A
  70   RS vCRO   W(97-73)  0  1  1029   1   3   1   2   0   1   2   2   0   0   1   1   0   1  1  3  4   4  2  1   4   4   0  19  48  29   13    9   1   1   1   0  A
  71   RS @QUE  L(98-105)  1  1  1768   4   7   4   6   0   1   2   2   0   0   2   2   2   4  0  1  1   9  4  1  10   6   4  -8  64  72   27   19   2   2   1   0  A
  78   RS vBRE  W(105-78)  0  1  2047   0   6   0   4   0   2  12  12   0   1   0   1   0   3  1  6  7   5  3  5  12   0   0  16  88  72   26   15   0   3   0   5  A
