Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
   6   RS vLAT   W(96-65)  0    0     0  38  74  32  57   6  17  14  22   1   2  24  33   8  24 11 45 56  17  7  96  55   8   85  121   36   5   2   33   31    7   26   80   21   62    5   18    8   15    1    5   14   39    7   23  12  30  42   18  11   65   33   11    87   133    46    7    4    24     0     5 25-14,32-21,20-13,19-17
  10   RS @LAT   W(90-86)  0    9    11  36  87  31  68   5  19  13  21   6   8  21  41  10  27 19 38 57  19  5  90  49  17   97  142   45   4   1   10    9   12   35   82   29   63    6   19   10   10    3    4   16   31   13   32   9  34  43   15  10   86   40   12    87   123    36    5    5    22     3     8 23-19,23-25,22-22,22-20
  14   RS vRAY   L(78-91)  0    1     6  29  78  24  53   5  25  15  18   1   2  15  32   9  21  9 36 45  17  9  78  39   4   87  132   45   6   3   18    2    8   35   83   28   61    7   22   14   19    3    6   18   33   10   28  14  41  55   24   9   91   46   20    92   151    59    6    3    32    15    11 16-24,22-20,23-18,17-29
  16   RS @KEN  L(85-101)  0    4     3  31  75  26  56   5  19  18  23   1   3  15  28  11  28 11 30 41  19  4  85  43   5   86  128   42   2   2   28    3    6   42   83   31   58   11   25    6    8    1    1   21   31   10   27  12  34  46   26  11  101   44   13    87   133    46    9    2    17    21     7 18-23,16-26,26-26,25-26
  18   RS @LAT   L(88-91)  0    0     4  34  78  27  55   7  23  13  15   2   2  18  31   9  24 11 32 43  19  8  88  40  10   84  125   41   6   2   27    1    7   37   81   30   64    7   17   10   16    6    7   24   49    6   15  16  33  49   20   6   91   56   16    89   140    51    2    4     0    10     8 21-25,27-26,17-22,23-18
  20   RS @RAY L(105-112)  1   20    18  41  96  35  69   6  27  17  24   6   7  26  39   9  30 18 40 58  22  8 105  59  21  107  160   53   4   4   19    9    7   44   89   32   54   12   35   12   16    1    1   24   29    8   25   8  42  50   22  11  112   54   10    97   146    49    5    6    18     7     6 31-24,18-27,19-20,24-21,13-20
  22   RS vKEN   W(99-92)  0    0     0  37  77  31  63   6  14  19  24   1   1  21  38  10  25 14 36 50  22  7  99  51  19   88  135   47   2   5   13   21    9   36   86   29   57    7   29   13   18    2    6   21   37    8   20  17  30  47   20  11   92   42   13    93   138    45    6    5    20     0     8 30-12,27-27,19-27,23-26
  25   RS @CRO  W(101-92)  0    8    12  34  69  28  54   6  15  27  37   2   3  15  29  13  25 11 35 46  19 10 101  40  15   86  132   46   5   5   34    9    7   33   75   24   56    9   19   17   23    1    2   13   24   11   32  10  28  38   21  17   92   32   14    85   126    41    9    8    21     6     6 29-25,23-31,24-17,25-19
  30   RS vBRE   W(91-77)  0    0     0  32  72  27  58   5  14  22  26   1   3  17  34  10  24 12 37 49  17  6  91  39  11   84  126   42   4   2   46   20   15   32   74   27   55    5   19    8   12    0    1   23   45    4   10   7  30  37   14  12   77   51    9    80   113    33    4    8    38     0     8 20-16,27-17,21-19,23-25
  31   RS @QUE   W(96-90)  0    9     5  39  77  35  63   4  14  14  21   3   4  27  45   8  18 12 36 48  24  6  96  60  16   86  131   45   3   3   10    8    8   34   86   25   57    9   29   13   14    2    3   17   29    8   28  16  30  46   24   9   90   39   22    92   146    54    5    4    14     9     8 24-26,19-23,28-25,25-16
