Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  85.0  22.0  49.0  39.0  17.0  94.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D20-RSG3
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  85.0  22.0  50.5  39.0  17.0  94.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D23-RSG6
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  85.0  22.0  50.5  39.2  17.0  94.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D24-RSG7
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  86.0  22.0  49.4  39.2  17.0  94.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D27-RSG10
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  86.0  22.0  49.4  39.2  17.0  95.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D32-RSG15
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  86.0  22.0  48.2  39.2  17.0  95.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D35-RSG18
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  83.1  22.0  48.2  39.2  17.0  95.0  31.0   77.0  42.0  53.0  87.0    0 Y11-D42-RSG25
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0  99.0  83.1  22.0  48.2  39.2  17.0  95.0  31.0   77.0  42.0  53.0  88.0    0 Y11-D43-RSG26
  7.6 SG1  24    4  HAR  39.6  15.7  44.7 100.0  99.0  83.1  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  88.0    0 Y11-D48-RSG31
  7.6 SG1  24    4  HAR  39.6  15.7  44.7 100.0  99.0  83.1  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  85.2    0 Y11-D49-RSG32
  7.6 SG1  24    4  HAR  39.6  15.7  44.7 100.0  99.0  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  85.2    0 Y11-D55-RSG38
  7.6 SG1  24    4  HAR  39.3  15.6  45.1 100.0  99.0  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  85.2    0 Y11-D56-RSG39
  7.6 SG1  24    4  HAR  39.3  15.6  45.1 100.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  85.2    0 Y11-D59-RSG42
  7.6 SG1  24    4  HAR  39.1  16.1  44.8 100.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  53.0  85.2    0 Y11-D61-RSG44
  7.6 SG1  24    4  HAR  39.1  16.1  44.8 100.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  52.0  85.2    0 Y11-D62-RSG45
  7.6 SG1  24    4  HAR  38.3  16.3  45.4 100.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   76.3  42.0  52.0  85.2    0 Y11-D63-RSG46
  7.6 SG1  24    4  HAR  39.5  15.9  44.6 100.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   76.3  42.0  52.0  85.2    0 Y11-D64-RSG47
  7.6 SG1  24    4  HAR  39.5  15.9  44.6  99.0 100.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   76.3  42.0  52.0  85.2    0 Y11-D66-RSG49
  7.6 SG1  24    4  HAR  39.5  15.9  44.6  99.0  99.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   76.3  42.0  52.0  84.1    0 Y11-D87-RSG70
  7.6 SG1  24    4  HAR  39.5  15.9  44.6  99.0  99.7  84.3  22.0  48.2  39.2  17.0  94.0  31.0   75.3  42.0  52.0  84.1    0 Y11-D94-RSG77
  7.6 SG1  24    4  HAR  39.5  15.9  44.6  99.0  99.7  84.3  22.0  48.2  39.2  14.5  94.0  31.0   75.3  42.0  53.0  82.0    0 Y11-D95-RSG78
