Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 8.15 PG1  23    3  QUE  26.0  32.0  42.0 101.0  98.0  74.0  15.0  44.0  72.0  60.0  75.0  23.0   78.0  40.8  18.0  89.0    0 Y11-D18-RSG1
 8.15 PG1  23    3  QUE  26.0  32.0  42.0 101.0  98.0  74.0  15.0  44.0  70.2  60.0  75.0  23.0   78.0  40.8  18.0  89.0    0 Y11-D20-RSG3
 8.15 PG1  23    3  QUE  26.6  30.4  43.0 101.0  98.0  74.0  15.0  44.0  70.2  60.0  75.0  23.0   78.0  40.8  18.0  89.0    0 Y11-D21-RSG4
 8.15 PG1  23    3  QUE  26.6  30.4  43.0 101.0  98.0  74.0  15.0  45.0  70.2  60.0  75.0  23.0   78.0  40.8  18.0  89.0    0 Y11-D35-RSG18
 8.15 PG1  23    3  QUE  26.6  30.4  43.0 101.0  98.0  74.0  15.0  45.0  70.2  60.0  75.0  23.0   80.1  40.8  18.0  89.0    0 Y11-D40-RSG23
 8.15 PG1  23    3  QUE  26.6  30.4  43.0 101.0  98.0  74.0  15.0  45.0  70.2  60.0  75.0  21.9   80.1  40.8  18.0  89.0    0 Y11-D43-RSG26
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  15.0  45.0  70.2  60.0  75.0  21.9   80.1  40.8  18.0  89.0    0 Y11-D50-RSG33
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  45.0  70.2  59.7  75.0  21.9   80.1  40.8  18.0  89.0    0 Y11-D51-RSG34
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  45.0  70.2  56.5  75.0  21.9   80.1  40.8  18.0  89.0    0 Y11-D55-RSG38
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  45.0  70.2  56.5  75.0  21.9   80.1  41.8  18.0  89.0    0 Y11-D56-RSG39
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  46.9  70.2  56.5  73.5  21.9   80.1  41.8  18.0  89.0    0 Y11-D64-RSG47
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  46.9  70.2  56.5  73.5  21.9   80.1  41.8  18.0  89.0    0 Y11-D67-RSG50
 8.15 PG1  23    3  QUE  26.4  30.1  43.5 101.0  98.0  74.0  16.0  46.9  70.2  56.5  73.5  21.9   81.1  41.8  18.0  89.0    0 Y11-D68-RSG51
 8.15 PG1  23    3  QUE  26.4  30.1  43.5  99.0  98.0  74.0  16.0  46.9  70.2  56.5  77.2  21.9   81.1  41.8  18.0  89.0    0 Y11-D72-RSG55
 8.15 PG1  23    3  QUE  26.5  30.3  43.2  99.0  98.0  74.0  16.0  46.9  70.2  56.5  77.2  21.9   81.1  41.8  18.0  89.0    0 Y11-D78-RSG61
 8.15 PG1  23    3  QUE  26.5  30.3  43.2  99.0  98.0  74.0  16.0  46.9  70.2  56.5  77.2  22.9   81.1  41.8  18.0  90.0    0 Y11-D80-RSG63
 8.15 PG1  23    3  QUE  26.9  29.3  43.8  99.0  98.0  74.0  16.0  46.9  70.2  56.5  77.2  22.9   81.1  41.8  18.0  90.0    0 Y11-D88-RSG71
 8.15 PG1  23    3  QUE  26.9  29.3  43.8  99.0  99.8  74.0  16.0  47.9  70.2  56.5  77.2  21.0   81.1  41.8  17.0  90.0    0 Y11-D89-RSG72
 8.15 PG1  23    3  QUE  26.9  29.3  43.8  99.0  99.8  74.0  16.0  46.9  70.2  56.5  77.2  21.0   81.1  41.8  17.0  90.0    0 Y11-D93-RSG76
 8.15 PG1  23    3  QUE  26.9  29.3  43.8  99.0  99.8  74.0  16.0  48.0  70.2  56.5  77.2  21.0   81.1  41.8  17.0  90.0    0 Y11-D96-RSG79
