Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE    5   RS @BRE   L(70-94)  0  0   600   1   2   1   2   0   0   0   0   0   0   0   0   1   2  0  2  2   1  1  0   2   0   0   4  18  14    8    6   0   1   0   0  A
  11  QUE    9   RS vQUE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   11   RS @WIL  L(95-110)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   17   RS vBRE L(100-105)  0  1   645   5   9   3   5   2   4   0   0   0   0   1   2   2   3  0  0  0   3  1  0  12   2   3  -4  31  35   14    5   0   1   0   0  A
  11  QUE   23   RS @QUE W(120-119)  1  1   380   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  0  1   2  0  0   0   0   0 -10   7  17    4    3   0   0   0   0  A
  11  HAR   25   RS vHAR  L(92-101)  0  0   418   1   2   1   2   0   0   0   0   0   0   0   0   1   2  0  0  0   2  0  0   2   0   0  -3  15  18    4    2   0   0   0   0  A
  11  LAT   33   RS vLAT   W(99-76)  0  0   405   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   2  0  0   2   2   0   1  15  14    8    7   0   0   0   0  A
  11  WIL   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   55   RS @QUE   L(89-95)  0  0    30   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  0  0   0  0  0   3   0   0   1   3   2    1    0   0   0   0   0  A
  11  QUE   57   RS vQUE  L(76-110)  0  0  1970   7  15   5  12   2   3   0   0   0   0   1   3   4   9  1  1  2   8  3  0  16   2   4 -29  66  95   42   27   0   3   0   0  A
  11  WIL   59   RS @WIL   W(99-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   65   RS vKEN  L(96-112)  0  0  1299   6  10   3   5   3   5   2   2   0   0   1   1   2   4  0  2  2   6  1  1  17   2   2   7  60  53   24   13   0   1   0   1  A
  11  RAY   68   RS @RAY  L(86-106)  0  0   976   4   6   4   5   0   1   2   2   0   0   1   1   3   4  0  1  1   4  2  1  10   2   0  -7  35  42   15    8   1   1   0   1  A
  11  HAR   70   RS @HAR   L(73-97)  0  0  1464   7  13   6  10   1   3   0   0   0   0   2   2   4   8  0  2  2   4  1  0  15   4   2  -3  52  55   24   11   1   0   0   0  A
  11  RAY   73   RS vRAY  L(87-102)  0  0   833   3   5   3   5   0   0   0   0   0   0   3   4   0   1  0  2  2   1  0  0   6   6   0  -2  29  31    7    2   0   0   0   0  A
  11  KEN   80   RS @KEN   L(79-95)  0  1  1957   6  17   5  15   1   2   0   0   0   0   2   6   3   9  1  2  3   9  2  0  13   4   4  -2  67  69   35   18   1   1   0   0  A
