Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    7   RS vBRE  W(102-96)  0  1  1998   7  17   7  17   0   0   1   2   0   0   4  11   3   6  3 10 13   0  2  1  15   9   0   8  83  75   19    1   2   0   1   0  A
  11  CRO    9   RS @CRO   L(81-82)  0  1  1200   2   6   2   6   0   0   1   2   0   0   2   4   0   2  1  4  5   0  0  1   5   5   2  -5  36  41    7    0   0   0   1   0  A
  11  WIL   15   RS vWIL  L(89-101)  0  1  1147   6  11   6  10   0   1   2   2   1   1   4   6   2   4  1  4  5   1  1  1  14  10   2 -17  31  48   13    1   1   0   1   0  A
  11  BRE   21   RS @BRE  W(106-97)  0  0  1459   9  12   9  12   0   0   0   0   0   0   7   9   2   3  1  6  7   0  3  0  18  14   4   9  64  55   12    0   3   0   0   0  A
  11  CRO   23   RS vCRO L(119-120)  1  0  1335   6   9   6   8   0   1   0   0   0   0   3   4   3   4  1  4  5   0  2  0  12   6   2  -5  67  72    9    0   0   2   0   0  A
  11  LAT   26   RS @LAT  L(96-105)  0  0  1800   7  15   7  15   0   0   1   2   1   1   5   9   2   6  2  8 10   0  1  1  15  11   4   5  77  72   16    0   1   0   1   0  A
  11  RAY   28   RS @RAY  L(97-119)  0  1  2094   8  14   8  13   0   1   7  12   0   0   5   6   3   7  1  9 10   0  2  6  23  17   1 -21  85 106   22    2   1   1   6   0  A
  11  HAR   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR   38   RS @HAR  L(83-105)  0  1  1997  10  21  10  21   0   0   3   6   1   2   5  12   5   9  7  5 12   0  1  3  23  12   5 -22  69  91   25    1   1   0   2   1  A
  11  KEN   39   RS vKEN   W(97-88)  0  1  2400  11  22  10  20   1   2   1   4   0   0   8  11   2   9  4 13 17   0  0  2  24  17   2   9  97  88   24    0   0   0   2   0  A
  11  BRE   47   RS vBRE   L(86-94)  0  1  1228   3  12   3  10   0   2   2   2   0   0   2   6   1   4  1  4  5   0  3  1   8   6   2 -13  43  56   14    1   1   2   1   0  A
  11  WIL   51   RS @WIL  W(107-89)  0  1  2008  13  19  13  19   0   0   3   4   2   2  11  15   2   4  5  7 12   0  0  2  29  25   8  25  95  70   22    1   0   0   2   0  A
  11  BRE   53   RS @BRE  W(101-86)  0  1  1804   6  12   6  11   0   1   4   6   0   0   5   8   1   3  0  5  5   1  0  3  16  14   2   8  68  60   17    2   0   0   3   0  A
  11  CRO   55   RS vCRO   W(95-89)  0  1  1655   4  11   4  11   0   0   1   2   1   1   3   8   1   3  2  4  6   0  0  1   9   7   2  -9  56  65   12    0   0   0   1   0  A
  11  CRO   57   RS @CRO  W(110-76)  0  0   600   2   7   2   7   0   0   0   0   1   1   1   3   1   4  1  2  3   1  0  0   4   2   2   1  23  22    8    1   0   0   0   0  A
  11  BRE   61   RS @BRE   L(83-99)  0  0   345   2   5   2   4   0   1   0   0   0   0   2   3   0   1  1  2  3   0  0  0   4   4   0  -2  12  14    5    0   0   0   0   0  A
  11  WIL   63   RS vWIL   W(99-81)  0  0  1104   5   6   5   6   0   0   2   2   0   0   4   5   1   1  0  2  2   1  2  1  12  10   2  15  52  37    8    1   1   1   1   0  A
  11  HAR   71   RS vHAR  W(105-98)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  KEN   72   RS @KEN L(105-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  LAT   74   RS @LAT W(104-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   76   RS @RAY W(107-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   79   RS vRAY  W(105-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
