Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  0   991   2   5   2   5   0   0   0   0   0   0   2   3   0   2  3  6  9   1  0  0   4   4   0   5  43  38    6    1   0   0   0   0  A
  11  RAY    4   RS @RAY  L(95-114)  0  1  2289   9  13   9  13   0   0   5   6   1   1   8  12   1   1  5  6 11   0  1  3  23  18   2 -17  91 108   18    2   1   0   1   2  A
  11  HAR    6   RS @HAR   L(65-96)  0  0   600   0   3   0   2   0   1   2   2   0   1   0   1   0   1  1  3  4   0  1  1   2   0   2  -2  17  19    4    0   1   0   0   1  A
  11  HAR   10   RS vHAR   L(86-90)  0  0    14   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  1  0   0   0   0  -2   0   2    0    0   0   1   0   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  0   600   2   2   2   2   0   0   1   2   0   0   2   2   0   0  0  3  3   0  0  1   5   5   0   9  29  20    3    0   0   0   1   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0   540   1   5   1   5   0   0   0   0   0   1   1   4   0   1  1  3  4   0  1  0   2   2   0  -5  21  26    5    0   1   0   0   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  0   962   1   2   1   2   0   0   2   4   0   0   0   1   1   1  3  6  9   0  4  2   4   0   3  -8  31  39    4    0   4   0   0   2  A
  11  CRO   33   RS @CRO   L(76-99)  0  0   405   0   0   0   0   0   0   0   0   0   0   0   0   0   0  1  4  5   0  1  0   0   0   0  -1  14  15    0    0   0   1   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  0  1799   2   6   2   6   0   0   5   8   0   0   2   3   0   3  2  9 11   0  1  4   9   9   0   6  75  69   12    2   1   0   4   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  0   244   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   0  -2   8  10    1    0   0   0   0   0  A
  11  HAR   46   RS @HAR  W(100-92)  0  0   603   3   3   3   3   0   0   0   0   0   0   2   2   1   1  1  2  3   0  0  0   6   4   0 -10  21  31    3    0   0   0   0   0  A
  11  KEN   50   RS vKEN  L(93-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   56   RS @KEN  L(72-103)  0  0  1630   6  10   6  10   0   0   3   4   1   1   5   8   1   2  4 10 14   0  3  2  15  13   5 -24  47  71   12    0   3   0   2   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  0   509   2   4   2   3   0   1   4   4   0   0   2   2   0   1  1  3  4   1  1  2   8   8   4  -3  18  21    7    1   0   1   2   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  0   600   1   2   1   2   0   0   0   0   0   0   1   2   0   0  0  3  3   0  0  0   2   2   0   2  21  19    2    0   0   0   0   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  0  2004   6   9   6   9   0   0   4   4   1   1   5   7   1   2  3  8 11   3  1  2  16  14   2 -13  75  88   15    4   1   0   2   0  A
  11  QUE   74   RS vQUE L(101-104)  0  1  2266   8  16   8  15   0   1   6   8   1   1   6  10   2   5  2  6  8   0  3  4  22  15   2   0  97  97   21    1   2   1   2   2  A
  11  BRE   77   RS @BRE  W(100-91)  0  1  2247   9  14   9  14   0   0   3   4   1   1   9  12   0   2  1  5  6   0  3  2  21  21   6  13  98  85   16    0   3   0   2   0  A
