Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  1   907   5   7   5   7   0   0   0   0   0   0   4   5   1   2  1  3  4   1  3  0  10   8   0   6  42  36    8    1   3   0   0   0  A
   4   RS vLAT  W(114-95)  0  1  2289  11  17  11  17   0   0   0   0   1   1   9  14   2   3  3  7 10   2  0  0  22  18   2  17 108  91   21    4   0   0   0   0  A
   8   RS @KEN   W(99-79)  0  1  1558   3   9   3   8   0   1   0   0   0   0   3   6   0   2  1  6  7   0  0  0   6   6   0   7  62  55   11    2   0   0   0   0  A
  12   RS vLAT  L(77-107)  0  1  2191   8  13   8  12   0   1   0   0   0   0   8  11   0   1  0  7  7   1  1  0  16  16   2 -22  71  93   17    4   1   0   0   0  A
  14   RS @HAR   W(91-78)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  20   RS vHAR W(112-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  24   RS @KEN L(114-118)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  28   RS vQUE  W(119-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  35   RS @WIL   L(70-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  37   RS @BRE  W(111-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  44   RS vHAR  W(109-94)  0  1  1474   9  15   9  14   0   1   0   0   1   1   8  10   1   4  3  4  7   1  2  0  18  16   2  14  73  59   17    2   2   0   0   0  A
  52   RS vLAT   W(92-84)  0  1  1800   3  12   3  10   0   2   0   0   0   0   2   7   1   3  3  8 11   0  2  0   6   4   0  -5  61  66   14    2   2   0   0   0  A
  54   RS @HAR  L(82-100)  0  1  1432   3  12   3  11   0   1   0   0   0   0   3   8   0   3  2 10 12   2  1  0   6   6   2   0  52  52   17    5   1   0   0   0  A
  60   RS vHAR  W(102-95)  0  1  2400   7  14   7  12   0   2   0   2   0   0   7  12   0   0  1 12 13   0  2  1  14  14   4   7 102  95   16    1   1   1   0   1  A
  68   RS vCRO  W(106-86)  0  1  2113  13  20  13  19   0   1   0   0   1   1   9  12   4   7  1  8  9   1  2  0  26  18   4  20  97  77   22    2   2   0   0   0  A
  69   RS @BRE  L(75-106)  0  1   526   2   2   2   2   0   0   0   0   0   0   2   2   0   0  1  1  2   0  4  0   4   4   0 -14  12  26    2    0   4   0   0   0  A
  73   RS @CRO  W(102-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  76   RS vQUE L(100-107)  0  1  2089  10  20  10  17   0   3   0   0   2   3  10  16   0   1  4  8 12   1  0  0  20  20   4 -12  79  91   22    2   0   0   0   0  A
  79   RS @QUE  L(84-105)  0  1  1760   8  17   8  16   0   1   0   0   1   1   7  11   1   5  4  6 10   1  1  0  16  14   2 -19  62  81   20    3   1   0   0   0  A
