Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 11.U PG2  19    0  DRA  11.2  50.3  38.5  55.0  70.7  99.8   9.3  18.3  64.9  76.6  45.4  22.7   89.9  25.5  49.7  75.1    0 Y11-D1-Draft
 11.7 PG2  19    0  QUE  11.2  50.3  38.5  54.0  70.7  99.8   9.3  18.3  64.9  76.6  48.0  22.7   88.0  25.5  49.7  75.1    0 Y11-D24-RSG7
 11.7 PG2  19    0  QUE  11.6  50.0  38.4  54.0  70.7  99.8   9.3  18.3  64.9  76.6  48.0  22.7   88.0  25.5  49.7  75.1    0 Y11-D30-RSG13
 11.7 PG2  19    0  QUE  11.6  50.0  38.4  54.0  70.7  99.8   9.3  16.0  64.9  76.6  48.0  22.7   88.0  25.5  49.7  75.1    0 Y11-D32-RSG15
 11.7 PG2  19    0  QUE  11.5  49.7  38.8  54.0  70.7  99.8   9.3  16.0  64.9  76.6  48.0  22.7   88.0  25.5  49.7  75.1    0 Y11-D38-RSG21
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  54.0  70.7  99.8   9.3  16.0  64.9  77.0  48.0  22.7   88.0  25.5  49.7  75.1    0 Y11-D40-RSG23
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  54.0  70.7  99.8   9.3  16.0  64.9  77.0  48.0  22.7   88.0  25.5  50.7  75.1    0 Y11-D47-RSG30
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  56.5  70.7  99.8   9.3  16.0  64.9  77.0  48.0  22.7   88.0  25.5  50.7  75.1    0 Y11-D55-RSG38
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  56.5  70.7  99.8   9.3  16.0  64.9  73.6  48.0  22.7   88.0  25.5  50.7  75.1    0 Y11-D57-RSG40
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  56.5  70.7 100.8   9.3  16.0  64.9  73.6  48.0  22.7   88.0  26.5  50.7  75.1    0 Y11-D60-RSG43
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  56.5  70.7 100.8   9.3  16.0  64.9  73.6  48.0  22.7   88.0  26.5  50.7  74.1    0 Y11-D64-RSG47
 11.7 PG2  19    0  QUE  11.3  49.8  38.9  56.5  70.7 100.8   9.3  18.5  64.9  73.6  48.0  22.7   88.0  26.5  50.7  74.1    0 Y11-D65-RSG48
 11.7 PG2  19    0  QUE  11.5  49.8  38.7  56.5  70.7 100.8   9.3  18.5  64.9  73.6  48.0  22.7   88.0  26.5  50.7  74.1    0 Y11-D70-RSG53
 11.7 PG2  19    0  QUE  11.5  49.8  38.7  57.5  70.7 100.8   9.3  19.5  64.9  73.6  48.0  22.7   88.0  26.5  50.7  74.1    0 Y11-D72-RSG55
 11.7 PG2  19    0  QUE  11.6  50.1  38.3  58.5  70.7 100.8   9.3  19.5  64.9  73.6  48.0  22.7   88.0  26.5  50.7  73.1    0 Y11-D74-RSG57
 11.7 PG2  19    0  QUE  11.3  51.3  37.4  58.5  70.7 100.8  10.3  19.5  64.9  73.6  48.0  22.7   88.0  26.5  50.7  73.1    0 Y11-D77-RSG60
 11.7 PG2  19    0  QUE  11.3  51.3  37.4  58.5  70.7 100.8  11.3  19.5  64.9  73.6  48.0  22.7   87.0  26.5  50.7  73.1    0 Y11-D78-RSG61
 11.7 PG2  19    0  QUE  11.3  51.3  37.4  58.5  70.7 100.8  11.3  19.5  64.9  73.6  48.0  22.7   87.0  26.5  51.7  73.1    0 Y11-D87-RSG70
 11.7 PG2  19    0  QUE  11.6  49.9  38.5  58.5  70.7 100.8  11.3  19.5  64.9  73.6  48.0  22.7   87.0  26.5  51.7  73.1    0 Y11-D88-RSG71
 11.7 PG2  19    0  QUE  11.6  49.9  38.5  58.5  70.7 100.8  11.3  19.5  64.9  73.6  48.0  22.7   87.0  26.5  51.7  74.1    0 Y11-D89-RSG72
 11.7 PG2  19    0  QUE  11.6  49.9  38.5  57.5  70.7 100.8  11.3  19.5  64.9  73.6  48.0  22.7   87.0  26.5  51.7  74.1    0 Y11-D90-RSG73
 11.7 PG2  19    0  QUE  11.6  49.9  38.5  57.5  70.7 100.8  11.3  19.5  64.9  73.6  46.2  22.7   87.0  26.5  51.7  74.1    0 Y11-D91-RSG74
 11.7 PG2  19    0  QUE  11.3  51.3  37.4  57.5  70.7 100.8  11.3  19.5  64.9  73.6  46.2  22.7   87.0  26.5  51.7  74.1    0 Y11-D96-RSG79
