Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  1  1928   8  20   8  18   0   2   2   2   2   2   6  11   2   7  5 10 15   0  2  1  18  14  10 -15  65  80   24    3   1   1   1   0  A
  11  HAR   16   RS vHAR  W(101-85)  0  1  1582   7  18   6  16   1   2   3   4   1   1   5  10   1   6  4  6 10   2  2  2  18  11   4   9  68  59   26    6   2   0   1   1  A
  11  HAR   22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   27   RS @WIL  L(79-113)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   32   RS vWIL  L(91-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   39   RS @QUE   L(88-97)  0  1  1081   4  12   4  11   0   1   0   0   0   1   4   7   0   4  2  6  8   1  1  0   8   8   0 -17  31  48   15    3   1   0   0   0  A
  11  BRE   40   RS vBRE   W(92-84)  0  1  1800   8  19   8  17   0   2   1   2   1   1   6   7   2  10  1  6  7   1  1  1  17  13   2  19  77  58   23    3   1   0   1   0  A
  11  LAT   42   RS @LAT   W(98-75)  0  1   600   2   6   2   6   0   0   0   2   0   0   1   3   1   3  1  3  4   2  0  1   4   2   0 -11  14  25   12    5   0   0   1   0  A
  11  HAR   48   RS vHAR  W(114-95)  0  0   404   1   4   1   4   0   0   0   0   0   0   0   2   1   2  1  1  2   0  0  0   2   0   2  -6  17  23    6    2   0   0   0   0  A
  11  LAT   50   RS @LAT  W(101-93)  0  0  1135   5  13   5  11   0   2   2   4   0   0   3   5   2   6  1  8  9   1  2  2  12   8   4  13  53  40   17    2   2   0   2   0  A
  11  LAT   56   RS vLAT  W(103-72)  0  0  1077   5   9   5   9   0   0   3   4   0   0   4   7   1   2  1  9 10   0  0  2  13  11   2  16  49  33   12    1   0   0   2   0  A
  11  HAR   62   RS @HAR   L(77-90)  0  0  1800  11  22  11  22   0   0   1   2   0   0   8  13   3   9  4  9 13   4  1  1  23  17   4 -11  58  69   28    5   1   0   1   0  A
  11  LAT   64   RS vLAT   W(75-67)  0  0  1543   4  13   4  13   0   0   4   6   1   3   3   8   1   5  7 11 18   1  1  3  12   9   3  14  55  41   19    3   1   0   2   1  A
  11  CRO   65   RS @CRO  W(112-96)  0  1  1337   8  15   8  15   0   0   0   2   1   1   5   7   3   8  3  6  9   2  0  1  16  10   8  -3  53  56   22    6   0   0   1   0  A
  11  QUE   72   RS vQUE W(108-105)  0  0   275   0   2   0   2   0   0   0   0   0   0   0   0   0   2  0  1  1   0  0  0   0   0   0  -4   6  10    5    3   0   0   0   0  A
  11  WIL   75   RS @WIL   W(87-81)  0  0  1200   5  11   4  10   1   1   2   4   0   0   0   3   4   7  0  5  5   0  0  2  13   2   2  -1  43  44   15    2   0   0   2   0  A
  11  CRO   80   RS vCRO   W(95-79)  0  0  1200   6  13   6  13   0   0   1   2   0   0   3   7   3   6  3  6  9   1  0  1  13   7   2  17  49  32   18    4   0   0   1   0  A
