Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  0  1792   4   9   4   9   0   0   8  10   0   0   2   6   2   3  2  4  6   0  2  5  16  12   3  18  80  62   14    0   2   0   5   0  A
   9   RS @CRO   L(81-82)  0  0  1200   4   8   4   8   0   0   1   2   1   1   3   4   1   4  1  5  6   0  1  1   9   7   3   4  45  41    9    0   1   0   1   0  A
  15   RS vWIL  L(89-101)  0  0  1200   5  11   5  10   0   1   0   0   0   0   5   7   0   3  2  1  3   0  1  0  10  10   0  -2  50  52   11    0   1   0   0   0  A
  21   RS @BRE  W(106-97)  0  1  2400  10  14  10  14   0   0   2   2   0   0   8  10   2   4  4  7 11   0  3  1  22  18   0   9 106  97   15    0   2   1   1   0  A
  23   RS vCRO L(119-120)  1  1  1548   3  11   3  11   0   0   0   0   0   0   2   8   1   3  0  8  8   0  2  0   6   4   0  -7  54  61   12    1   2   0   0   0  A
  26   RS @LAT  L(96-105)  0  1   600   1   5   1   5   0   0   0   0   0   1   0   2   1   3  1  2  3   0  0  0   2   0   0 -14  19  33    5    0   0   0   0   0  A
  28   RS @RAY  L(97-119)  0  1  1305   2   7   2   7   0   0   0   0   1   1   2   5   0   2  3  3  6   0  1  0   4   4   2  -4  57  61    7    0   1   0   0   0  A
  31   RS vHAR   L(90-96)  0  0  1558   3   7   3   7   0   0   3   4   0   0   1   2   2   5  6  2  8   0  0  2   9   5   0  -3  53  56    9    0   0   0   2   0  A
  38   RS @HAR  L(83-105)  0  0   600   2   5   2   5   0   0   0   0   0   0   1   3   1   2  0  1  1   0  0  0   4   2   2  -4  21  25    5    0   0   0   0   0  A
  39   RS vKEN   W(97-88)  0  0   693   1   1   1   1   0   0   2   2   0   0   1   1   0   0  2  1  3   0  0  1   4   2   0  -2  23  25    2    0   0   0   0   1  A
  47   RS vBRE   L(86-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  51   RS @WIL  W(107-89)  0  0   392   1   3   1   3   0   0   1   2   0   0   1   2   0   1  1  0  1   0  1  1   3   3   2  -7  12  19    4    0   1   0   1   0  A
  53   RS @BRE  W(101-86)  0  0   147   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  -2   6   8    1    0   0   0   0   0  A
  55   RS vCRO   W(95-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  57   RS @CRO  W(110-76)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  61   RS @BRE   L(83-99)  0  0   262   1   2   1   2   0   0   1   2   0   0   1   2   0   0  1  1  2   0  0  1   3   3   0  -3   8  11    3    0   0   0   1   0  A
  63   RS vWIL   W(99-81)  0  0   250   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0  -2  11  13    0    0   0   0   0   0  A
  71   RS vHAR  W(105-98)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  72   RS @KEN L(105-108)  0  0  1378   2   7   1   5   1   2   0   0   1   2   1   3   0   2  4  6 10   0  1  0   5   2   2  -3  59  62    7    0   0   1   0   0  A
  74   RS @LAT W(104-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  76   RS @RAY W(107-100)  0  0   657   2   3   2   3   0   0   1   2   1   1   2   2   0   1  2  2  4   0  0  1   5   5   2   3  32  29    4    0   0   0   1   0  A
  79   RS vRAY  W(105-84)  0  0   719   3   4   2   3   1   1   0   2   0   0   2   2   0   1  1  5  6   0  2  1   7   4   3  -4  28  32    5    0   0   2   1   0  A
