Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS vRAY  W(107-99)  0  1  2381   9  18   7  14   2   4  12  17   1   1   4   9   3   5  2  9 11   4  2  7  32  11   5   4 103  99   40   15   0   2   3   4  A
   4   RS @RAY  L(95-114)  0  1  2289  11  21   7  15   4   6   3   6   0   1   4   9   3   6  1  4  5   1  0  3  29   9   5 -17  91 108   26    2   0   0   1   2  A
   6   RS @HAR   L(65-96)  0  1  1190   2  11   1  10   1   1   2   5   0   0   0   6   1   4  3  3  6   3  0  2   7   1   0 -18  30  48   18    5   0   0   1   1  A
  10   RS vHAR   L(86-90)  0  1  2400  12  20   9  14   3   6   4   4   0   0   1   4   8  10  1  2  3   3  1  2  31   6   0  -4  86  90   31    9   0   1   2   0  A
  12   RS @RAY  W(107-77)  0  1  2214  11  22   7  17   4   5   5   6   0   0   4   9   3   8  0  8  8   2  0  3  31  11   3  20  93  73   31    6   0   0   2   1  A
  18   RS vHAR   W(91-88)  0  1  2049   6  15   5  11   1   4   0   0   0   1   4   8   1   3  3  2  5   6  1  0  13   8   2   3  79  76   26   11   0   1   0   0  A
  26   RS vQUE  W(105-96)  0  1  1487   7  18   5  14   2   4   6   7   0   1   2   9   3   5  1  4  5   2  3  3  22   6   4  12  63  51   23    2   2   1   1   2  A
  29   RS @BRE  L(87-109)  0  1  2187  10  20   8  15   2   5   4   6   0   0   6  12   2   3  1  5  6   1  2  3  26  14   0 -15  78  93   37   14   0   2   2   1  A
  33   RS @CRO   L(76-99)  0  1  1281   5  12   4  10   1   2   2   2   0   0   1   5   3   5  1  2  3   3  3  1  13   2   0 -14  47  61   19    6   0   3   0   1  A
  34   RS vBRE L(100-102)  0  1  1448   6  15   4  13   2   2   8   9   0   0   4  10   0   3  1  0  1   4  1  4  22  13   5 -10  61  71   25    6   0   1   3   1  A
  42   RS vKEN   L(75-98)  0  1   961   3  13   2   9   1   4   0   0   0   0   1   6   1   3  0  2  2   2  1  0   7   2   0  -8  27  35   18    5   0   1   0   0  A
  46   RS @HAR  W(100-92)  0  1  2072   7  17   6  12   1   5   3   5   0   0   3   6   3   6  0  5  5   5  1  2  18   6   2  11  85  74   29   10   1   0   0   2  A
  50   RS vKEN  L(93-101)  0  1  1778   9  16   7  13   2   3   0   0   0   1   4   7   3   6  4  6 10   3  4  0  20   8   0  -1  69  70   20    4   0   4   0   0  A
  52   RS @RAY   L(84-92)  0  1  1722   6  17   5  12   1   5   0   2   0   1   4   8   1   4  1  6  7   8  2  1  13   8   6  -1  58  59   28   10   1   1   0   1  A
  56   RS @KEN  L(72-103)  0  1  1155   7  17   6  12   1   5   1   3   1   1   5  11   1   1  1  0  1   0  0  1  16  10   5 -10  37  47   20    2   0   0   0   1  A
  58   RS vHAR   L(83-90)  0  1  1585   4  14   3   9   1   5   3   3   0   0   2   5   1   4  2  3  5   3  1  1  12   4   0 -10  51  61   25   10   0   1   0   1  A
  64   RS @KEN   L(67-75)  0  1  1931   4  17   3  14   1   3   7  10   0   0   2  10   1   4  3  5  8   4  0  4  16   7   1  -1  56  57   33   12   0   0   2   2  A
  66   RS vWIL  L(90-104)  0  1  2400  11  22  11  18   0   4   4   6   1   2   8  11   3   7  3  6  9   4  2  3  26  20   2 -14  90 104   39   14   1   1   3   0  A
  74   RS vQUE L(101-104)  0  1  1362   4  14   4  10   0   4   0   0   0   0   3   7   1   3  0  0  0   3  2  0   8   6   0  -1  53  54   19    5   1   1   0   0  A
  77   RS @BRE  W(100-91)  0  1  2400   9  18   6  13   3   5   7   9   1   1   4   8   2   5  5  9 14   3  0  4  28   8   5   9 100  91   31    9   0   0   0   4  A
