Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  15   RS vWIL  L(89-101)  0  0  1621   7  15   5  11   2   4   2   2   0   0   5   7   0   4  1  4  5  10  2  1  18  12   0  -7  65  72   32   16   0   2   1   0  A
  21   RS @BRE  W(106-97)  0  0   218   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   2  0  0   2   2   2   9  16   7    4    3   0   0   0   0  A
  23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  26   RS @LAT  L(96-105)  0  0  1469   4   6   3   4   1   2   0   0   0   0   1   1   2   3  0  3  3   9  0  0   9   2   0  14  67  53   31   25   0   0   0   0  A
  28   RS @RAY  L(97-119)  0  0   600   3   9   2   4   1   5   0   0   0   0   2   2   0   2  2  1  3   2  1  0   7   4   2 -11  16  27   14    5   0   1   0   0  A
  31   RS vHAR   L(90-96)  0  0   490   2   6   1   4   1   2   0   0   0   0   1   3   0   1  1  0  1   1  0  0   5   2   3  -9  14  23    9    3   0   0   0   0  A
  38   RS @HAR  L(83-105)  0  0  1568   6  13   5   7   1   6   0   0   2   2   4   5   1   2  2  1  3   9  3  0  13   8   6  -7  53  60   29   16   1   2   0   0  A
  39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  47   RS vBRE   L(86-94)  0  0   557   1   3   1   2   0   1   0   0   0   0   0   1   1   1  0  1  1   1  0  0   2   0   0   3  20  17    7    4   0   0   0   0  A
  51   RS @WIL  W(107-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  53   RS @BRE  W(101-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  55   RS vCRO   W(95-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  57   RS @CRO  W(110-76)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  61   RS @BRE   L(83-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  63   RS vWIL   W(99-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  71   RS vHAR  W(105-98)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  72   RS @KEN L(105-108)  0  0   123   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  1  1   1  0  0   2   0   0  -2   6   8    2    1   0   0   0   0  A
  74   RS @LAT W(104-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  76   RS @RAY W(107-100)  0  0   108   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0   1   4   3    1    1   0   0   0   0  A
  79   RS vRAY  W(105-84)  0  0   291   1   3   1   1   0   2   0   0   0   0   1   1   0   0  0  0  0   2  1  0   2   2   2  -1  11  12    6    3   1   0   0   0  A
