Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   7   RS vBRE  W(102-96)  0  1  1211   7  11   6  10   1   1   0   0   0   0   0   2   6   8  0  2  2   0  4  0  15   0   2  -7  47  54   11    0   1   3   0   0  A
   9   RS @CRO   L(81-82)  0  1  2400  10  17   9  15   1   2   6   6   0   0   5   8   4   7  0  7  7   2  0  3  27  16   0  -1  81  82   24    4   0   0   3   0  A
  15   RS vWIL  L(89-101)  0  1  2221   4   8   4   8   0   0   3   4   0   0   4   6   0   2  0  5  5   1  1  2  11   8   0 -15  79  94   14    4   1   0   0   2  A
  21   RS @BRE  W(106-97)  0  1   943   4   7   4   7   0   0   0   0   0   0   2   3   2   4  0  6  6   0  4  0   8   4   2  -2  43  45    7    0   4   0   0   0  A
  23   RS vCRO L(119-120)  1  1  2446  10  18   7  13   3   5   2   2   0   0   4   8   3   5  0  4  4   1  2  1  25  10   0   4 108 104   23    4   1   1   1   0  A
  26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  28   RS @RAY  L(97-119)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  38   RS @HAR  L(83-105)  0  1  1997   9  13   9  12   0   1   0   0   0   0   6   8   3   4  0  3  3   1  1  0  18  12   0 -22  69  91   15    2   0   1   0   0  A
  39   RS vKEN   W(97-88)  0  1  2400  11  17  11  14   0   3   0   0   0   0   4   6   7   8  1 12 13   1  0  0  22   8   0   9  97  88   18    1   0   0   0   0  A
  47   RS vBRE   L(86-94)  0  1  2400   9  18   8  15   1   3   2   4   0   0   7  12   1   3  2 13 15   1  1  2  21  15   0  -8  86  94   22    2   1   0   1   1  A
  51   RS @WIL  W(107-89)  0  1  2008   6   9   5   8   1   1   0   0   0   0   3   5   2   3  2 10 12   0  1  0  13   6   0  25  95  70   12    3   1   0   0   0  A
  53   RS @BRE  W(101-86)  0  1  1664   6   8   6   8   0   0   0   0   1   1   5   5   1   3  1  5  6   0  4  0  12  10   2  14  73  59   11    3   3   1   0   0  A
  55   RS vCRO   W(95-89)  0  1  2227   9  14   8  13   1   1   2   2   0   0   5   8   3   5  1  9 10   0  2  1  21  10   0  11  90  79   17    2   1   1   0   1  A
  57   RS @CRO  W(110-76)  0  1  1584   8  10   8  10   0   0   2   2   0   0   5   7   3   3  1  4  5   1  2  1  18  12   4  33  77  44   13    2   0   2   1   0  A
  61   RS @BRE   L(83-99)  0  1  1992   5  13   5  13   0   0   1   2   0   0   2   4   3   9  1  8  9   1  4  1  11   5   0  -9  70  79   16    2   3   1   1   0  A
  63   RS vWIL   W(99-81)  0  1  2150  10  14   9  11   1   3   2   2   0   0   4   4   5   7  1  7  8   3  2  1  23   8   4  20  88  68   19    4   2   0   0   1  A
  71   RS vHAR  W(105-98)  1  1  2700  13  21  12  20   1   1   4   4   0   0   6  12   6   8  1 12 13   1  3  2  31  14   0   7 105  98   26    3   2   1   1   1  A
  72   RS @KEN L(105-108)  0  1  2280  10  18   9  17   1   1   3   4   0   0   7  12   2   5  3  7 10   2  4  2  24  15   2  -4  96 100   24    4   1   3   1   1  A
  74   RS @LAT W(104-101)  0  1  2010   5  12   4  10   1   2   6   7   0   0   1   6   3   4  0  5  5   0  2  3  17   5   3   1  85  84   17    2   1   1   2   1  A
  76   RS @RAY W(107-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  79   RS vRAY  W(105-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
